method,metric,scale,n,mean,std,baseline_scale,baseline_mean,delta_vs_baseline,pct_change_vs_baseline
ecomann,proj_true_dist,0.2,21,0.8669241652602241,0.2891660072888833,0.2,0.8669241652602241,0.0,0.0
ecomann,proj_true_dist,0.5,21,0.8458583553632101,0.4089094811469171,0.2,0.8669241652602241,-0.02106580989701401,-2.4299484016218074
ecomann,proj_true_dist,0.75,21,0.7986223711853936,0.4065996700348263,0.2,0.8669241652602241,-0.0683017940748305,-7.878635388405443
ecomann,proj_true_dist,1.0,21,0.6338892139139629,0.28776260804489434,0.2,0.8669241652602241,-0.23303495134626118,-26.88066161776806
ecomann,proj_true_dist,1.5,21,0.5587047806807927,0.21280791104076044,0.2,0.8669241652602241,-0.30821938457943143,-35.553211795280085
ecomann,proj_true_dist,3.0,21,0.6126729434444791,0.3379235789486383,0.2,0.8669241652602241,-0.254251221815745,-29.327965698063863
ecomann,proj_manifold_dist,0.2,21,0.5243820661590213,0.18528367053403602,0.2,0.5243820661590213,0.0,0.0
ecomann,proj_manifold_dist,0.5,21,0.4038615340278262,0.1573448313300475,0.2,0.5243820661590213,-0.12052053213119507,-22.983343616989117
ecomann,proj_manifold_dist,0.75,21,0.42531095303240274,0.2113717501457577,0.2,0.5243820661590213,-0.09907111312661854,-18.89292550607075
ecomann,proj_manifold_dist,1.0,21,0.3252611202853067,0.19253596374028048,0.2,0.5243820661590213,-0.1991209458737146,-37.97249347832011
ecomann,proj_manifold_dist,1.5,21,0.27915580783571514,0.11023156150356708,0.2,0.5243820661590213,-0.24522625832330613,-46.76480645486837
ecomann,proj_manifold_dist,3.0,21,0.3148982148794901,0.16765561052414904,0.2,0.5243820661590213,-0.20948385127953117,-39.948706258006204
ecomann,bidirectional_chamfer,0.2,21,1.042610534599849,0.3771874646653845,0.2,1.042610534599849,0.0,0.0
ecomann,bidirectional_chamfer,0.5,21,0.7769906904016223,0.4086736216143295,0.2,1.042610534599849,-0.2656198441982268,-25.476420521702376
ecomann,bidirectional_chamfer,0.75,21,0.7789466267540341,0.3619630590886299,0.2,1.042610534599849,-0.26366390784581495,-25.28882061862231
ecomann,bidirectional_chamfer,1.0,21,0.5699412716286523,0.35822973079751286,0.2,1.042610534599849,-0.4726692629711968,-45.33517044814878
ecomann,bidirectional_chamfer,1.5,21,0.46793056634210406,0.17696946732210236,0.2,1.042610534599849,-0.574679968257745,-55.11933259702823
ecomann,bidirectional_chamfer,3.0,21,0.5175347512676602,0.18995198495581403,0.2,1.042610534599849,-0.5250757833321889,-50.361641850637106
ecomann,pred_recall,0.2,21,0.6876055423627603,0.23331027864548984,0.2,0.6876055423627603,0.0,0.0
ecomann,pred_recall,0.5,21,0.6555558651233411,0.1909168298646691,0.2,0.6876055423627603,-0.032049677239419205,-4.6610556874352165
ecomann,pred_recall,0.75,21,0.7159429000773051,0.11897473228724993,0.2,0.6876055423627603,0.02833735771454482,4.121164820337482
ecomann,pred_recall,1.0,21,0.7970527410925485,0.09660179972183844,0.2,0.6876055423627603,0.10944719872978825,15.91714900285768
ecomann,pred_recall,1.5,21,0.834826283288663,0.080322548646125,0.2,0.6876055423627603,0.14722074092590276,21.410639073678883
ecomann,pred_recall,3.0,21,0.8769733586542423,0.05327982927524868,0.2,0.6876055423627603,0.18936781629148203,27.54018177933435
ecomann,pred_precision,0.2,21,0.022426060267857144,0.03892893162331985,0.2,0.022426060267857144,0.0,0.0
ecomann,pred_precision,0.5,21,0.03413318452380952,0.039976461387479505,0.2,0.022426060267857144,0.011707124255952377,52.20321410057023
ecomann,pred_precision,0.75,21,0.04237583705357143,0.05237619171451579,0.2,0.022426060267857144,0.019949776785714288,88.95800933125972
ecomann,pred_precision,1.0,21,0.07252139136904762,0.05467918748025938,0.2,0.022426060267857144,0.05009533110119047,223.37998963193365
ecomann,pred_precision,1.5,21,0.08671642485119048,0.07479349233046363,0.2,0.022426060267857144,0.06429036458333334,286.6770347330223
ecomann,pred_precision,3.0,21,0.09849330357142858,0.10577068404076752,0.2,0.022426060267857144,0.07606724330357142,339.1912908242612
