dataset,method,n,mean,median,std,min,max
2DEllipse,ONCL (Ours),7,0.011052264831960201,0.008657839149236679,0.004790061447555757,0.007655858062207699,0.022281436249613762
2DEllipse,DataAug,7,0.005484425728874547,0.005303164012730122,0.0008763057225598694,0.004349653143435717,0.007151964120566845
2DEllipse,VAE,7,0.1065715311893395,0.11193971335887909,0.029051043472372435,0.043592702597379684,0.14202457666397095
2DEllipse,ECoMaNN,7,0.11169504480702537,0.11185915768146515,0.02218985687298716,0.07171180099248886,0.13959769904613495
2DPlanarArmLine,ONCL (Ours),7,0.008428390603512526,0.008737529627978802,0.0011263676611533355,0.006602770648896694,0.009571746923029423
2DPlanarArmLine,DataAug,7,0.011003953005586351,0.011881045065820217,0.002474375536249343,0.007001540623605251,0.014696778729557991
2DPlanarArmLine,VAE,7,0.0433770910437618,0.04272078722715378,0.013166000123432392,0.028334850445389748,0.07072333246469498
2DPlanarArmLine,ECoMaNN,7,0.09710274317434855,0.09383392333984375,0.0188112433406443,0.06796464323997498,0.1262032836675644
2DSineSparse,ONCL (Ours),7,0.02881929304982935,0.028798570856451988,0.002659511082366489,0.023647142574191093,0.032145749777555466
2DSineSparse,DataAug,7,0.029056138891194547,0.02284669131040573,0.021208660560696237,0.013036086224019527,0.07975810021162033
2DSineSparse,VAE,7,0.027725004724093845,0.024269483983516693,0.010100809959986919,0.01737499237060547,0.049299683421850204
2DSineSparse,ECoMaNN,7,0.32635627474103657,0.32333144545555115,0.05586432400315245,0.2430846095085144,0.40897321701049805
3DPlanarArmLine,ONCL (Ours),7,0.10651174932718277,0.10079386830329895,0.012262143946199771,0.09425753355026245,0.12356238812208176
3DPlanarArmLine,DataAug,7,0.11741641057389123,0.11881370842456818,0.006164317526413893,0.10774510353803635,0.12633444368839264
3DPlanarArmLine,VAE,7,0.14159898247037614,0.1416488140821457,0.010604747730205033,0.12758326530456543,0.15662969648838043
3DPlanarArmLine,ECoMaNN,7,0.1400529146194458,0.1351727545261383,0.01557854272590277,0.11794809997081757,0.16414077579975128
3DArmEllipse,ONCL (Ours),7,0.013229617582900184,0.01163521409034729,0.003200876177375095,0.009436126798391342,0.019170120358467102
3DArmEllipse,DataAug,7,0.038308304601481984,0.03659581020474434,0.014418337144309864,0.023974763229489326,0.06948128342628479
3DArmEllipse,VAE,7,0.03146241844764778,0.03093172051012516,0.006364063284452297,0.023607216775417328,0.044209644198417664
3DArmEllipse,ECoMaNN,7,0.11792707922203201,0.05554407089948654,0.14506110398131425,0.052859123796224594,0.4729202687740326
3DTwoSphere,ONCL (Ours),7,0.04122432108436312,0.04075268283486366,0.0008730783926282009,0.040599092841148376,0.043197549879550934
3DTwoSphere,DataAug,7,0.046999411923544746,0.04554906114935875,0.0025710388078944223,0.044649526476860046,0.051386743783950806
3DTwoSphere,VAE,7,0.08354276844433375,0.07304215431213379,0.017803458950742885,0.06659535318613052,0.11785272508859634
3DTwoSphere,ECoMaNN,7,0.2932142274720328,0.2793951630592346,0.0707691523759708,0.1884281039237976,0.3854823708534241
3DTwistedEliip,ONCL (Ours),7,0.007094579416194132,0.007052436470985413,0.00048089539266128257,0.006317262537777424,0.007863291539251804
3DTwistedEliip,DataAug,7,0.030027577387435094,0.030432647094130516,0.0026761443566801052,0.026136882603168488,0.03483588993549347
3DTwistedEliip,VAE,7,0.0662755479237863,0.07576081901788712,0.022825729363487042,0.022295592352747917,0.09875234961509705
3DTwistedEliip,ECoMaNN,7,0.2483956175191062,0.19022870063781738,0.15013946129567995,0.12405794858932495,0.5998784303665161
3DTorus,ONCL (Ours),7,0.07961407623120717,0.0651714950799942,0.027249075933390814,0.06257497519254684,0.14336974918842316
3DTorus,DataAug,7,0.12979394303900854,0.10686895251274109,0.06265559255865892,0.0688958540558815,0.27541008591651917
3DTorus,VAE,7,0.2658693087952478,0.2673031985759735,0.01495024873765131,0.24418868124485016,0.28711944818496704
3DTorus,ECoMaNN,7,0.41547065547534395,0.40159469842910767,0.12073015569216732,0.2836249768733978,0.672947347164154
6DArmUp,ONCL (Ours),7,0.000789717654697597,0.0007807965157553554,4.337093509245507e-05,0.0007581402896903455,0.0008909539319574833
6DArmUp,DataAug,7,0.0008113413932733238,0.0007614174392074347,9.831896986706675e-05,0.0007209479226730764,0.0009829879272729158
6DArmUp,VAE,7,0.0011245016939938068,0.001045378390699625,0.00013348679578377917,0.001005340600386262,0.0013792139943689108
6DArmUp,ECoMaNN,7,0.0015472495163391744,0.001411398290656507,0.00035819564918105603,0.0010916423052549362,0.002009505173191428
6DSinePose,ONCL (Ours),7,0.048378776758909225,0.04869837313890457,0.001195727353283415,0.046875808387994766,0.05051887780427933
6DSinePose,DataAug,7,0.06782453187874385,0.06433884054422379,0.009114308568890615,0.06266838312149048,0.09006473422050476
6DSinePose,VAE,7,0.06624153256416321,0.06549165397882462,0.001955268896498907,0.06312714517116547,0.06875980645418167
6DSinePose,ECoMaNN,7,0.09061056162629809,0.09009099751710892,0.0048351761387382,0.08262129873037338,0.09970953315496445
