method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual,train_seconds
dataaug,2d_ellipse,0,0.011645006015896797,0.00859951414167881,0.00859951414167881,,,0.006125010084360838,0.01771603710949421,0.005519995465874672,0.012550362385809422,8128.0,4096.0,0.0,1.4191394257068168e-05,1.0,0.781742125984252,0.005519995465874672,49.0,0.01787775382399559,2.5704626750666648e-05,4.008512022992363
dataaug,2d_ellipse,1,0.009107532911002636,0.009731056168675423,0.009731056168675423,,,0.004647303372621536,0.013150559738278389,0.0044602295383811,0.013976904563605785,8128.0,4096.0,0.0,1.448618968424853e-05,1.0,0.9105561023622047,0.0044602295383811,49.0,0.019238535314798355,3.4431679523549974e-05,3.2449075010081287
dataaug,2d_ellipse,2,0.013863233849406242,0.01295776292681694,0.01295776292681694,,,0.007151964120566845,0.015507576055824757,0.006711270194500685,0.015749556943774223,8128.0,4096.0,0.0,2.2404232367989607e-05,1.0,0.8384596456692913,0.006711270194500685,49.0,0.016966024413704872,2.1886311515117995e-05,3.5003465700137895
dataaug,2d_ellipse,3,0.010620823130011559,0.006778459530323744,0.006778459530323744,,,0.005681718699634075,0.013895068317651749,0.004939104430377483,0.012494232505559921,8128.0,4096.0,0.0,1.0322652087779716e-05,1.0,0.7224409448818898,0.004939104430377483,49.0,0.016668129712343216,2.0173221855657175e-05,3.7098363589902874
dataaug,2d_ellipse,4,0.010033092461526394,0.00807314831763506,0.00807314831763506,,,0.005303164012730122,0.013630412518978119,0.004729928448796272,0.013375742360949516,8128.0,4096.0,0.0,1.492697720095748e-05,1.0,0.7779281496062992,0.004729928448796272,49.0,0.016815904527902603,2.5365408873767592e-05,3.1660282389784697
dataaug,2d_ellipse,5,0.00983838364481926,0.009767582640051842,0.009767582640051842,,,0.0051321666687726974,0.014345215633511543,0.004706216976046562,0.014484904706478119,8128.0,4096.0,0.0,1.797488766897004e-05,1.0,0.8849655511811023,0.004706216976046562,49.0,0.016398724168539047,2.0637435227399692e-05,3.454476031998638
dataaug,2d_ellipse,6,0.008319971151649952,0.0067197056487202644,0.0067197056487202644,,,0.004349653143435717,0.009416828863322735,0.003970318008214235,0.009970514103770256,8128.0,4096.0,0.0,1.0990771443175618e-05,1.0,0.8865649606299213,0.003970318008214235,49.0,0.014690062031149864,2.5140057914541103e-05,3.3091201490024105
dataaug,2d_planar_arm_line_n2,0,0.29413115978240967,0.05524460971355438,0.05524460971355438,,,0.01224321499466896,0.03865692764520645,0.281887948513031,1.6835108995437622,8128.0,4096.0,0.049379589769561916,0.0008542811265215278,0.515380859375,0.8350147637795275,0.281887948513031,52.55712890625,0.5116643309593201,0.026830311864614487,3.64769568797783
dataaug,2d_planar_arm_line_n2,1,0.16724157333374023,0.037832111120224,0.037832111120224,,,0.012475704774260521,0.03522038087248802,0.15476587414741516,1.3139090538024902,8128.0,4096.0,0.023580121703853957,0.00034093609428964555,0.621826171875,0.8821358267716536,0.15476587414741516,51.318603515625,0.4248041808605194,0.01421327143907547,3.7088950900069904
dataaug,2d_planar_arm_line_n2,2,0.04583309590816498,0.06261079013347626,0.06261079013347626,,,0.008069314062595367,0.023868508636951447,0.03776378184556961,0.12785574793815613,8128.0,4096.0,0.05918367346938776,0.0006612212164327502,0.695068359375,0.8838582677165354,0.03776378184556961,50.887451171875,0.36499619483947754,0.029373377561569214,3602.0710021639825
