dataset,method,n,mean,median,std,min,max
2d_ellipse,delta,1,0.007113831117749214,0.007113831117749214,0.0,0.007113831117749214,0.007113831117749214
2d_ellipse,eikonal,1,0.008878069929778576,0.008878069929778576,0.0,0.008878069929778576,0.008878069929778576
2d_ellipse,vae,1,0.08915401995182037,0.08915401995182037,0.0,0.08915401995182037,0.08915401995182037
2d_ellipse,ecomann,1,0.12445057183504105,0.12445057183504105,0.0,0.12445057183504105,0.12445057183504105
2d_looped_spiro,delta,1,0.07437382638454437,0.07437382638454437,0.0,0.07437382638454437,0.07437382638454437
2d_looped_spiro,eikonal,1,0.07782409340143204,0.07782409340143204,0.0,0.07782409340143204,0.07782409340143204
2d_looped_spiro,vae,1,0.13621628284454346,0.13621628284454346,0.0,0.13621628284454346,0.13621628284454346
2d_looped_spiro,ecomann,1,0.33786988258361816,0.33786988258361816,0.0,0.33786988258361816,0.33786988258361816
2d_planar_arm_line_n2,delta,1,0.03598138689994812,0.03598138689994812,0.0,0.03598138689994812,0.03598138689994812
2d_planar_arm_line_n2,eikonal,1,0.037101633846759796,0.037101633846759796,0.0,0.037101633846759796,0.037101633846759796
2d_planar_arm_line_n2,vae,1,0.23907923698425293,0.23907923698425293,0.0,0.23907923698425293,0.23907923698425293
2d_planar_arm_line_n2,ecomann,1,0.28239738941192627,0.28239738941192627,0.0,0.28239738941192627,0.28239738941192627
2d_sparse_sine,delta,1,0.0739092081785202,0.0739092081785202,0.0,0.0739092081785202,0.0739092081785202
2d_sparse_sine,eikonal,1,0.029870808124542236,0.029870808124542236,0.0,0.029870808124542236,0.029870808124542236
2d_sparse_sine,vae,1,0.053065426647663116,0.053065426647663116,0.0,0.053065426647663116,0.053065426647663116
2d_sparse_sine,ecomann,1,0.2106640636920929,0.2106640636920929,0.0,0.2106640636920929,0.2106640636920929
3d_planar_arm_line_n3_traj,delta,1,0.27675187587738037,0.27675187587738037,0.0,0.27675187587738037,0.27675187587738037
3d_planar_arm_line_n3_traj,eikonal,1,0.13853591680526733,0.13853591680526733,0.0,0.13853591680526733,0.13853591680526733
3d_planar_arm_line_n3_traj,vae,1,0.2298503816127777,0.2298503816127777,0.0,0.2298503816127777,0.2298503816127777
3d_planar_arm_line_n3_traj,ecomann,1,0.19832050800323486,0.19832050800323486,0.0,0.19832050800323486,0.19832050800323486
3d_spatial_arm_circle_n3,delta,1,0.2400905191898346,0.2400905191898346,0.0,0.2400905191898346,0.2400905191898346
3d_spatial_arm_circle_n3,eikonal,1,0.004986735992133617,0.004986735992133617,0.0,0.004986735992133617,0.004986735992133617
3d_spatial_arm_circle_n3,vae,1,0.03093332052230835,0.03093332052230835,0.0,0.03093332052230835,0.03093332052230835
3d_spatial_arm_circle_n3,ecomann,1,0.7518243193626404,0.7518243193626404,0.0,0.7518243193626404,0.7518243193626404
3d_twosphere_traj,delta,1,0.043798670172691345,0.043798670172691345,0.0,0.043798670172691345,0.043798670172691345
3d_twosphere_traj,eikonal,1,0.03741329908370972,0.03741329908370972,0.0,0.03741329908370972,0.03741329908370972
3d_twosphere_traj,vae,1,0.06372828781604767,0.06372828781604767,0.0,0.06372828781604767,0.06372828781604767
3d_twosphere_traj,ecomann,1,0.14563757181167603,0.14563757181167603,0.0,0.14563757181167603,0.14563757181167603
3d_vz_2d_ellipse,delta,1,0.276687890291214,0.276687890291214,0.0,0.276687890291214,0.276687890291214
3d_vz_2d_ellipse,eikonal,1,0.009724833071231842,0.009724833071231842,0.0,0.009724833071231842,0.009724833071231842
3d_vz_2d_ellipse,vae,1,0.12995263934135437,0.12995263934135437,0.0,0.12995263934135437,0.12995263934135437
3d_vz_2d_ellipse,ecomann,1,0.23463699221611023,0.23463699221611023,0.0,0.23463699221611023,0.23463699221611023
3d_torus_surface_traj,delta,1,0.10014642775058746,0.10014642775058746,0.0,0.10014642775058746,0.10014642775058746
3d_torus_surface_traj,eikonal,1,0.058735139667987823,0.058735139667987823,0.0,0.058735139667987823,0.058735139667987823
3d_torus_surface_traj,vae,1,0.24881088733673096,0.24881088733673096,0.0,0.24881088733673096,0.24881088733673096
3d_torus_surface_traj,ecomann,1,0.6993343830108643,0.6993343830108643,0.0,0.6993343830108643,0.6993343830108643
6d_spatial_arm_up_n6_py,delta,1,0.37447279691696167,0.37447279691696167,0.0,0.37447279691696167,0.37447279691696167
6d_spatial_arm_up_n6_py,eikonal,1,0.20139560103416443,0.20139560103416443,0.0,0.20139560103416443,0.20139560103416443
6d_spatial_arm_up_n6_py,vae,1,0.5094925165176392,0.5094925165176392,0.0,0.5094925165176392,0.5094925165176392
6d_spatial_arm_up_n6_py,ecomann,1,0.494704008102417,0.494704008102417,0.0,0.494704008102417,0.494704008102417
6d_workspace_sine_surface_pose_traj,delta,1,0.08991944044828415,0.08991944044828415,0.0,0.08991944044828415,0.08991944044828415
6d_workspace_sine_surface_pose_traj,eikonal,1,0.055899135768413544,0.055899135768413544,0.0,0.055899135768413544,0.055899135768413544
6d_workspace_sine_surface_pose_traj,vae,1,0.08730874955654144,0.08730874955654144,0.0,0.08730874955654144,0.08730874955654144
6d_workspace_sine_surface_pose_traj,ecomann,1,0.622147798538208,0.622147798538208,0.0,0.622147798538208,0.622147798538208
