dataset,method,n,mean,median,std,min,max
2d_ellipse,delta,1,4.428178788999958,4.428178788999958,0.0,4.428178788999958,4.428178788999958
2d_ellipse,eikonal,1,3.0494518620002964,3.0494518620002964,0.0,3.0494518620002964,3.0494518620002964
2d_ellipse,vae,1,1.1718999300001087,1.1718999300001087,0.0,1.1718999300001087,1.1718999300001087
2d_ellipse,ecomann,1,15.068351648999851,15.068351648999851,0.0,15.068351648999851,15.068351648999851
2d_looped_spiro,delta,1,3.837664876999952,3.837664876999952,0.0,3.837664876999952,3.837664876999952
2d_looped_spiro,eikonal,1,4.821732571999746,4.821732571999746,0.0,4.821732571999746,4.821732571999746
2d_looped_spiro,vae,1,1.0729040179999174,1.0729040179999174,0.0,1.0729040179999174,1.0729040179999174
2d_looped_spiro,ecomann,1,12.752253645000565,12.752253645000565,0.0,12.752253645000565,12.752253645000565
2d_planar_arm_line_n2,delta,1,3.9161376040001414,3.9161376040001414,0.0,3.9161376040001414,3.9161376040001414
2d_planar_arm_line_n2,eikonal,1,5.199775736999982,5.199775736999982,0.0,5.199775736999982,5.199775736999982
2d_planar_arm_line_n2,vae,1,1.1589887590002945,1.1589887590002945,0.0,1.1589887590002945,1.1589887590002945
2d_planar_arm_line_n2,ecomann,1,16.190360104999854,16.190360104999854,0.0,16.190360104999854,16.190360104999854
2d_sparse_sine,delta,1,3.716236493999986,3.716236493999986,0.0,3.716236493999986,3.716236493999986
2d_sparse_sine,eikonal,1,2.7235797409998668,2.7235797409998668,0.0,2.7235797409998668,2.7235797409998668
2d_sparse_sine,vae,1,1.1558185069998217,1.1558185069998217,0.0,1.1558185069998217,1.1558185069998217
2d_sparse_sine,ecomann,1,2.59637180899972,2.59637180899972,0.0,2.59637180899972,2.59637180899972
3d_planar_arm_line_n3_traj,delta,1,58.53794324699993,58.53794324699993,0.0,58.53794324699993,58.53794324699993
3d_planar_arm_line_n3_traj,eikonal,1,68.49845317900008,68.49845317900008,0.0,68.49845317900008,68.49845317900008
3d_planar_arm_line_n3_traj,vae,1,16.026656656999876,16.026656656999876,0.0,16.026656656999876,16.026656656999876
3d_planar_arm_line_n3_traj,ecomann,1,82.64674534599999,82.64674534599999,0.0,82.64674534599999,82.64674534599999
3d_spatial_arm_circle_n3,delta,1,7.306925916000182,7.306925916000182,0.0,7.306925916000182,7.306925916000182
3d_spatial_arm_circle_n3,eikonal,1,23.094768255999952,23.094768255999952,0.0,23.094768255999952,23.094768255999952
3d_spatial_arm_circle_n3,vae,1,4.82316291799998,4.82316291799998,0.0,4.82316291799998,4.82316291799998
3d_spatial_arm_circle_n3,ecomann,1,292.6731264609998,292.6731264609998,0.0,292.6731264609998,292.6731264609998
3d_twosphere_traj,delta,1,14.515377081000224,14.515377081000224,0.0,14.515377081000224,14.515377081000224
3d_twosphere_traj,eikonal,1,16.266863231000116,16.266863231000116,0.0,16.266863231000116,16.266863231000116
3d_twosphere_traj,vae,1,4.174552783999843,4.174552783999843,0.0,4.174552783999843,4.174552783999843
3d_twosphere_traj,ecomann,1,9.67699528600042,9.67699528600042,0.0,9.67699528600042,9.67699528600042
3d_vz_2d_ellipse,delta,1,3.5137937490003424,3.5137937490003424,0.0,3.5137937490003424,3.5137937490003424
3d_vz_2d_ellipse,eikonal,1,6.66652777399986,6.66652777399986,0.0,6.66652777399986,6.66652777399986
3d_vz_2d_ellipse,vae,1,1.169072912000047,1.169072912000047,0.0,1.169072912000047,1.169072912000047
3d_vz_2d_ellipse,ecomann,1,32.50710175899985,32.50710175899985,0.0,32.50710175899985,32.50710175899985
3d_torus_surface_traj,delta,1,6.969245181000133,6.969245181000133,0.0,6.969245181000133,6.969245181000133
3d_torus_surface_traj,eikonal,1,16.31045562999998,16.31045562999998,0.0,16.31045562999998,16.31045562999998
3d_torus_surface_traj,vae,1,4.307133705000069,4.307133705000069,0.0,4.307133705000069,4.307133705000069
3d_torus_surface_traj,ecomann,1,6.482740602999911,6.482740602999911,0.0,6.482740602999911,6.482740602999911
6d_spatial_arm_up_n6_py,delta,1,61.68030632399996,61.68030632399996,0.0,61.68030632399996,61.68030632399996
6d_spatial_arm_up_n6_py,eikonal,1,69.13425911800005,69.13425911800005,0.0,69.13425911800005,69.13425911800005
6d_spatial_arm_up_n6_py,vae,1,16.890607815000294,16.890607815000294,0.0,16.890607815000294,16.890607815000294
6d_spatial_arm_up_n6_py,ecomann,1,390.5966076699997,390.5966076699997,0.0,390.5966076699997,390.5966076699997
6d_workspace_sine_surface_pose_traj,delta,1,92.71903381400034,92.71903381400034,0.0,92.71903381400034,92.71903381400034
6d_workspace_sine_surface_pose_traj,eikonal,1,83.68855429699988,83.68855429699988,0.0,83.68855429699988,83.68855429699988
6d_workspace_sine_surface_pose_traj,vae,1,24.670318825999857,24.670318825999857,0.0,24.670318825999857,24.670318825999857
6d_workspace_sine_surface_pose_traj,ecomann,1,1380.2004408209996,1380.2004408209996,0.0,1380.2004408209996,1380.2004408209996
