method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual,train_seconds
delta,2d_ellipse,173,0.01804930530488491,0.010489895939826965,0.010489895939826965,,,0.00871984101831913,0.023018062114715576,0.00932946428656578,0.022014744579792023,1024.0,4096.0,0.0,2.0197614503558725e-05,1.0,0.693359375,0.007113831117749214,49.0,0.02119613066315651,3.308341547381133e-05,4.428178788999958
delta,2d_looped_spiro,173,0.09320088475942612,0.028628671541810036,0.028628671541810036,,,0.017753029242157936,0.042159345000982285,0.07544785737991333,0.4301874041557312,1024.0,4096.0,0.02088841882601798,0.00016659912944305688,0.809326171875,0.79931640625,0.07437382638454437,49.25927734375,0.10624179244041443,0.0005150340148247778,3.837664876999952
delta,2d_planar_arm_line_n2,173,0.04265010356903076,0.022250156849622726,0.022250156849622726,,,0.005970284808427095,0.017454922199249268,0.036679819226264954,0.22253385186195374,1024.0,4096.0,0.004292929292929293,0.00015574300778098404,0.810791015625,0.85009765625,0.03598138689994812,49.00048828125,0.35315316915512085,0.01682218164205551,3.9161376040001414
delta,2d_sparse_sine,173,0.1628357321023941,0.03590487688779831,0.03590487688779831,,,0.08774403482675552,0.5005139112472534,0.07509169727563858,0.3706015944480896,1024.0,4096.0,0.016233766233766232,0.0003434156533330679,0.8076171875,0.577392578125,0.0739092081785202,52.63427734375,0.1340695172548294,0.010102011263370514,3.716236493999986
delta,3d_planar_arm_line_n3_traj,173,0.4686882495880127,0.05480768531560898,0.05480768531560898,,,0.12541081011295319,0.27525490522384644,0.3432774543762207,1.2448313236236572,1024.0,4096.0,0.05507832238504295,0.0007192145567387342,0.3134765625,0.78564453125,0.27675187587738037,49.609130859375,1.025417685508728,0.04488322511315346,58.53794324699993
delta,3d_spatial_arm_circle_n3,173,0.26397672295570374,0.019039664417505264,0.019039664417505264,,,0.023751992732286453,0.04244975373148918,0.24022473394870758,0.5952790379524231,1024.0,4096.0,0.024724602203182375,6.727781874360517e-05,0.054443359375,0.913330078125,0.2400905191898346,49.003662109375,0.2799765467643738,0.000489311758428812,7.306925916000182
delta,3d_twosphere_traj,173,0.12399349361658096,0.01772616058588028,0.01772616058588028,,,0.04513447731733322,0.09821626543998718,0.07885901629924774,0.15131688117980957,1024.0,4096.0,0.03391959798994975,7.744859613012522e-05,0.465087890625,0.796875,0.043798670172691345,53.097412109375,0.05184923857450485,0.009369662962853909,14.515377081000224
delta,3d_vz_2d_ellipse,173,0.3097181022167206,0.03935283049941063,0.03935283049941063,,,0.03282865881919861,0.06669406592845917,0.276889443397522,0.8346415162086487,1024.0,4096.0,0.07476635514018691,0.00030724055250175297,0.0888671875,0.828369140625,0.276687890291214,49.0,0.28002434968948364,4.4946915295440704e-05,3.5137937490003424
delta,3d_torus_surface_traj,173,0.27251380681991577,0.05931005999445915,0.05931005999445915,,,0.12845495343208313,0.4666934609413147,0.14405885338783264,0.3429683744907379,1024.0,4096.0,0.03666921313980138,0.0006110203685238957,0.41943359375,0.650634765625,0.10014642775058746,49.029541015625,0.15259107947349548,0.00023700876045040786,6.969245181000133
delta,6d_spatial_arm_up_n6_py,173,0.4646538197994232,0.05777775123715401,0.05777775123715401,,,0.08083036541938782,0.1415490359067917,0.3838234543800354,1.5462749004364014,1024.0,4096.0,0.006591796875,0.0008759626653045416,0.0009765625,0.89892578125,0.37447279691696167,55.267822265625,0.5183274149894714,0.20780619978904724,61.68030632399996
delta,6d_workspace_sine_surface_pose_traj,173,0.28546571731567383,0.021752854809165,0.021752854809165,,,0.06167060509324074,0.10154479742050171,0.2237951159477234,0.7958933711051941,1024.0,4096.0,0.0009768009768009768,0.00010168230073759332,0.181640625,0.642333984375,0.08991944044828415,61.216064453125,0.37428271770477295,0.01629338040947914,92.71903381400034
eikonal,2d_ellipse,173,0.020220231264829636,0.015930889174342155,0.015930889174342155,,,0.009511539712548256,0.016558237373828888,0.010708692483603954,0.01871129870414734,1024.0,4096.0,0.0,3.982031194027513e-05,1.0,0.815185546875,0.008878069929778576,19.001220703125,0.024577822536230087,0.0005823893006891012,3.0494518620002964
eikonal,2d_looped_spiro,173,0.12286838889122009,0.08671604096889496,0.08671604096889496,,,0.04436248540878296,0.10036925226449966,0.07850590348243713,0.3235061764717102,1024.0,4096.0,0.09888947646747752,0.001287473482079804,0.58056640625,0.88623046875,0.07782409340143204,19.072021484375,0.14818453788757324,0.0029595056548714638,4.821732571999746
