method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual,train_seconds
delta,3d_spatial_arm_circle_n3,173,0.23474638164043427,0.03349792957305908,0.03349792957305908,,,0.018345540389418602,0.03076767735183239,0.2164008468389511,0.758948802947998,1024.0,4096.0,0.02837573385518591,0.00024251453578472137,0.14599609375,0.871826171875,0.21618963778018951,49.284912109375,0.39124366641044617,0.02302214317023754,7.965274345999205
delta,3d_spatial_arm_circle_n3,271,0.19554300606250763,0.05782904848456383,0.05782904848456383,,,0.04282486438751221,0.08659347891807556,0.15271814167499542,0.33241286873817444,1024.0,4096.0,0.06868736250305549,0.0006443487363867462,0.057861328125,0.88720703125,0.15256178379058838,49.060302734375,0.2895473539829254,0.0012474858667701483,7.131750794000254
delta,3d_spatial_arm_circle_n3,509,0.10454617440700531,0.03772256523370743,0.03772256523370743,,,0.02116132155060768,0.044439613819122314,0.08338484913110733,0.2258416712284088,1024.0,4096.0,0.02762836185819071,0.00024195987498387694,0.1552734375,0.91748046875,0.08314516395330429,51.044921875,0.29086950421333313,0.021440422162413597,7.136821850999695
eikonal,3d_spatial_arm_circle_n3,173,0.026332957670092583,0.014097688719630241,0.014097688719630241,,,0.006310333963483572,0.01093695405870676,0.020022623240947723,0.03554682061076164,1024.0,4096.0,0.0,6.208286504261196e-05,0.942138671875,0.891845703125,0.01894807070493698,19.0,0.2888391315937042,0.022571586072444916,24.989170290999027
eikonal,3d_spatial_arm_circle_n3,271,0.03083668276667595,0.02324317768216133,0.02324317768216133,,,0.00799323245882988,0.016574732959270477,0.02284345030784607,0.026450391858816147,1024.0,4096.0,0.0004888780249327792,0.00011155655374750495,0.938232421875,0.89697265625,0.021840624511241913,19.0,0.2844386100769043,0.028665034100413322,25.91276233100143
eikonal,3d_spatial_arm_circle_n3,509,0.024817952886223793,0.01948273926973343,0.01948273926973343,,,0.006292782258242369,0.010677052661776543,0.018525170162320137,0.0270753912627697,1024.0,4096.0,0.0,8.040873217396438e-05,0.948486328125,0.9052734375,0.01750667579472065,19.0,0.286754310131073,0.019292736425995827,26.754313222998462
vae,3d_spatial_arm_circle_n3,173,0.03560780733823776,0.08987070620059967,0.08987070620059967,0.03871314227581024,0.027182085439562798,0.012177305296063423,0.02634602040052414,0.02343050017952919,0.04042832553386688,1024.0,4096.0,0.009295499021526418,0.0019585825502872467,0.80224609375,0.87890625,0.02272873744368553,1.0,0.5863254070281982,0.060699254274368286,4.319357255000796
vae,3d_spatial_arm_circle_n3,271,0.10709121823310852,0.18622833490371704,0.18622833490371704,0.12424113601446152,0.09144586324691772,0.031961798667907715,0.06367627531290054,0.0751294195652008,0.3453950881958008,1024.0,4096.0,0.032754827670496214,0.008185653015971184,0.182373046875,0.8916015625,0.0748833566904068,1.0,0.6307120323181152,0.2501695156097412,4.492579970999941
vae,3d_spatial_arm_circle_n3,509,0.17124685645103455,0.47902581095695496,0.47902581095695496,0.20986314117908478,0.15845006704330444,0.05190340429544449,0.1438646763563156,0.11934345960617065,0.37761348485946655,1024.0,4096.0,0.16772616136919316,0.12838086485862732,0.07568359375,0.887451171875,0.11918370425701141,1.0,0.873692512512207,0.6008661985397339,4.400447169999097
ecomann,3d_spatial_arm_circle_n3,173,0.17211106419563293,0.07815700769424438,0.07815700769424438,,,0.025651995092630386,0.0609138160943985,0.14645907282829285,1.0576157569885254,1024.0,4096.0,0.009540117416829745,0.0012662566732615232,0.214111328125,0.898681640625,0.14613305032253265,4.566162109375,0.43716347217559814,0.01710244081914425,112.89439087600113
ecomann,3d_spatial_arm_circle_n3,271,0.18102684617042542,0.09751206636428833,0.09751206636428833,,,0.0233859084546566,0.05003824084997177,0.15764093399047852,1.0344533920288086,1024.0,4096.0,0.011977511610853092,0.0021777672227472067,0.258056640625,0.86572265625,0.15731622278690338,4.36279296875,0.4370589852333069,0.017774518579244614,113.42951077500038
ecomann,3d_spatial_arm_circle_n3,509,0.22190126776695251,0.09447244554758072,0.09447244554758072,,,0.022572996094822884,0.04589485749602318,0.19932827353477478,1.0423163175582886,1024.0,4096.0,0.014669926650366748,0.001488813548348844,0.302490234375,0.92626953125,0.1989574134349823,10.307861328125,0.4728941321372986,0.04593007639050484,117.63579425599892
