dataset,method,n,mean,median,std,min,max
2d_ellipse,delta,5,0.006304623652249574,0.00633447989821434,0.0006619547189954632,0.005451515782624483,0.0071160453371703625
2d_ellipse,eikonal,5,0.043353845737874507,0.012580865994095802,0.04168602472655172,0.008878069929778576,0.1089223101735115
2d_ellipse,vae,5,0.13088022023439408,0.13169346749782562,0.05851071318476125,0.04534796625375748,0.1998395025730133
2d_looped_spiro,delta,5,0.04721014015376568,0.06832937896251678,0.02926669118719187,0.011103671975433826,0.07445989549160004
2d_looped_spiro,eikonal,5,0.037563564255833626,0.02826273813843727,0.020916939477307675,0.021878253668546677,0.07782409340143204
2d_looped_spiro,vae,5,0.08439618796110153,0.07815209776163101,0.032510387081235985,0.04224948585033417,0.13621628284454346
2d_planar_arm_line_n2,delta,5,0.09408964961767197,0.03615149110555649,0.10433887122392374,0.02828620746731758,0.30080094933509827
2d_planar_arm_line_n2,eikonal,5,0.08191497847437859,0.037101633846759796,0.08977355480782592,0.0341610424220562,0.2614227533340454
2d_planar_arm_line_n2,vae,5,0.3493641674518585,0.35329964756965637,0.06808172803215248,0.23907923698425293,0.45344388484954834
2d_sparse_sine,delta,5,0.06929841041564941,0.07487358152866364,0.02754057529140683,0.0364295095205307,0.10978144407272339
2d_sparse_sine,eikonal,5,0.030282806232571603,0.029870808124542236,0.0014657145553780132,0.02854016050696373,0.03252653032541275
2d_sparse_sine,vae,5,0.03706923350691795,0.028444625437259674,0.013651583471788385,0.023801803588867188,0.05430283769965172
3d_spatial_arm_circle_n3,delta,5,0.173392915725708,0.1501009464263916,0.04467312663247739,0.11903131008148193,0.24013033509254456
3d_spatial_arm_circle_n3,eikonal,5,0.002972327312454581,0.0024745548143982887,0.001381990033568164,0.001714465906843543,0.005643056705594063
3d_spatial_arm_circle_n3,vae,5,0.04800246767699719,0.03093332052230835,0.0411879163485829,0.016448965296149254,0.12942209839820862
3d_vz_2d_ellipse,delta,5,0.23795048594474794,0.18931099772453308,0.07224495259178815,0.17920927703380585,0.3628915548324585
3d_vz_2d_ellipse,eikonal,5,0.026140597835183143,0.024848109111189842,0.005220287895257184,0.020222749561071396,0.035263944417238235
3d_vz_2d_ellipse,vae,5,0.15991730391979217,0.13630461692810059,0.06785424072784438,0.06827412545681,0.2687392830848694
6d_spatial_arm_up_n6_py,delta,5,0.4467186570167542,0.4678162932395935,0.07026712924986345,0.3524356186389923,0.532561182975769
6d_spatial_arm_up_n6_py,eikonal,5,0.14887644052505494,0.15281376242637634,0.013444499483604867,0.13294793665409088,0.16707125306129456
6d_spatial_arm_up_n6_py,vae,5,0.43590914011001586,0.4239203631877899,0.04044814220182182,0.3866177201271057,0.5094925165176392
2d_figure_eight,delta,5,0.028402226418256758,0.031010393053293228,0.005564016189483745,0.019208598881959915,0.034764789044857025
2d_figure_eight,eikonal,5,0.07112717404961585,0.04663589969277382,0.037785876603680865,0.042743511497974396,0.14218883216381073
2d_figure_eight,vae,5,0.08287112414836884,0.09259482473134995,0.024646500748753235,0.041042447090148926,0.10637523978948593
2d_square,delta,5,0.016776889748871326,0.016399303451180458,0.0023667433445863292,0.014444003812968731,0.02125074341893196
2d_square,eikonal,5,0.014973018690943718,0.013772551901638508,0.0021441014516365565,0.012733089737594128,0.01801471970975399
2d_square,vae,5,0.040405625104904176,0.033202871680259705,0.0162913158582724,0.022178523242473602,0.06996309757232666
3d_planar_arm_line_n3,delta,5,0.10231761336326599,0.07746947556734085,0.04817219192423451,0.06542348116636276,0.19647064805030823
3d_planar_arm_line_n3,eikonal,5,0.1947363644838333,0.2160540372133255,0.0936853829001687,0.07136180996894836,0.3197556436061859
3d_planar_arm_line_n3,vae,5,0.2676881968975067,0.275748074054718,0.05326514699671261,0.20569084584712982,0.35662493109703064
3d_spiral,delta,5,0.260667097568512,0.2560582160949707,0.030548272576968,0.21914154291152954,0.31296658515930176
3d_spiral,eikonal,5,0.062042166292667386,0.04886224865913391,0.025622437926132793,0.04852095618844032,0.11325528472661972
3d_spiral,vae,5,0.046564707159996034,0.03940786421298981,0.0164518137002414,0.028649065643548965,0.07038843631744385
3d_torus_surface,delta,5,0.05877392441034317,0.058594390749931335,0.0007933875095124786,0.05786973610520363,0.06018675118684769
3d_torus_surface,eikonal,5,0.08769087940454483,0.060088545083999634,0.044159404577297785,0.05955597758293152,0.17377224564552307
3d_torus_surface,vae,5,0.33399495482444763,0.331570565700531,0.04320147745532191,0.26966267824172974,0.38496971130371094
3d_twosphere,delta,5,0.04648377299308777,0.04607013612985611,0.0021395482818510176,0.04395068436861038,0.05035540461540222
3d_twosphere,eikonal,5,0.04427211880683899,0.04402932897210121,0.0006248248800479532,0.04356936365365982,0.04510311782360077
3d_twosphere,vae,5,0.07161572277545929,0.06744188815355301,0.014159865892487288,0.05109601467847824,0.09336958080530167
6d_workspace_sine_surface_pose,delta,5,0.12927782535552979,0.11603166162967682,0.033420347334338074,0.10548268258571625,0.1956651210784912
6d_workspace_sine_surface_pose,eikonal,5,0.037416500598192216,0.03774796798825264,0.0008392226639885097,0.036189816892147064,0.03841705620288849
6d_workspace_sine_surface_pose,vae,5,0.06875799149274826,0.06659403443336487,0.0032462084584566693,0.0653776079416275,0.07287929207086563
