dataset,2d_ellipse,2d_figure_eight,2d_looped_spiro,2d_planar_arm_line_n2,2d_sparse_sine,2d_square,3d_planar_arm_line_n3,3d_spatial_arm_circle_n3,3d_spiral,3d_torus_surface,3d_twosphere,3d_vz_2d_ellipse,6d_spatial_arm_up_n6_py,6d_workspace_sine_surface_pose
2d_ellipse,1,0.3410888344,0.2676231964,0.6890433941,-0.3005239073,0.6838992447,0.5734601737,-0.291304843,-0.6171645462,0.7403650112,0.4974739229,0.0148438327,0.1187767923,-0.3184013088
2d_figure_eight,0.3410888344,1,0.4876444263,0.3671370499,-0.3280556392,0.09365099402,0.3369410822,-0.6111600298,-0.6975321528,0.4040212673,0.2819912553,-0.286874325,-0.1745576493,-0.5196331984
2d_looped_spiro,0.2676231964,0.4876444263,1,0.4664313856,-0.09839269118,0.3684143818,0.06996807443,0.08323458664,-0.2009344978,0.4865038519,0.351981119,0.2932472591,0.4489244187,0.09266436457
2d_planar_arm_line_n2,0.6890433941,0.3671370499,0.4664313856,1,-0.3822761345,0.6530145642,0.5592917432,-0.1809695623,-0.4333898281,0.8165465386,0.7584873404,0.148424473,0.394454359,-0.1181695188
2d_sparse_sine,-0.3005239073,-0.3280556392,-0.09839269118,-0.3822761345,1,-0.3016402528,-0.2624788637,0.651667428,0.684112052,-0.3194615098,-0.2624087156,0.6148772541,0.3661017172,0.6845080089
2d_square,0.6838992447,0.09365099402,0.3684143818,0.6530145642,-0.3016402528,1,0.3237646894,0.04287754607,-0.3197639635,0.8025575827,0.722140737,0.08752535917,0.2974578212,-0.07860149976
3d_planar_arm_line_n3,0.5734601737,0.3369410822,0.06996807443,0.5592917432,-0.2624788637,0.3237646894,1,-0.5612291861,-0.5914313809,0.6079672345,0.5672651146,-0.1933466961,-0.1157897484,-0.4501090482
3d_spatial_arm_circle_n3,-0.291304843,-0.6111600298,0.08323458664,-0.1809695623,0.651667428,0.04287754607,-0.5612291861,1,0.8872480956,-0.2792625111,-0.1679211924,0.7850241812,0.5769354566,0.8536065137
3d_spiral,-0.6171645462,-0.6975321528,-0.2009344978,-0.4333898281,0.684112052,-0.3197639635,-0.5914313809,0.8872480956,1,-0.5749203276,-0.3558861744,0.6119788846,0.3927258223,0.7930513109
3d_torus_surface,0.7403650112,0.4040212673,0.4865038519,0.8165465386,-0.3194615098,0.8025575827,0.6079672345,-0.2792625111,-0.5749203276,1,0.7986561766,-0.0201377255,0.3404753755,-0.229211025
3d_twosphere,0.4974739229,0.2819912553,0.351981119,0.7584873404,-0.2624087156,0.722140737,0.5672651146,-0.1679211924,-0.3558861744,0.7986561766,1,0.1617514983,0.3834810824,-0.06341714978
3d_vz_2d_ellipse,0.0148438327,-0.286874325,0.2932472591,0.148424473,0.6148772541,0.08752535917,-0.1933466961,0.7850241812,0.6119788846,-0.0201377255,0.1617514983,1,0.780989593,0.8436514998
6d_spatial_arm_up_n6_py,0.1187767923,-0.1745576493,0.4489244187,0.394454359,0.3661017172,0.2974578212,-0.1157897484,0.5769354566,0.3927258223,0.3404753755,0.3834810824,0.780989593,1,0.7401744776
6d_workspace_sine_surface_pose,-0.3184013088,-0.5196331984,0.09266436457,-0.1181695188,0.6845080089,-0.07860149976,-0.4501090482,0.8536065137,0.7930513109,-0.229211025,-0.06341714978,0.8436514998,0.7401744776,1
