method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_manifold_dist,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual
delta,2d_ellipse,173,0.01805219054222107,0.010489895939826965,0.010489895939826965,,,0.008720877580344677,0.023031288757920265,0.009331313893198967,0.022030632942914963,1024.0,4096.0,0.0,0.007210531737655401,2.0197614503558725e-05,1.0,0.2636986301369863,0.0071160453371703625,29.0,0.021196918562054634,3.848012420348823e-05
delta,2d_ellipse,271,0.015483936294913292,0.011541550979018211,0.011541550979018211,,,0.0068992068991065025,0.018311994150280952,0.00858472939580679,0.019167691469192505,1024.0,4096.0,0.0,0.007655675057321787,3.643401214503683e-05,1.0,0.25259515570934254,0.00633447989821434,29.0,0.01892237365245819,3.5263514291727915e-05
delta,2d_ellipse,509,0.013338793069124222,0.010896449908614159,0.010896449908614159,,,0.00560326874256134,0.015782726928591728,0.0077355243265628815,0.01911194995045662,1024.0,4096.0,0.0,0.006646440830081701,2.1211699277046137e-05,1.0,0.2581699346405229,0.005451515782624483,29.0,0.018380895256996155,3.1513012800132856e-05
delta,2d_ellipse,877,0.016843758523464203,0.008956361562013626,0.008956361562013626,,,0.007841045968234539,0.026927238330245018,0.00900271162390709,0.020985396578907967,1024.0,4096.0,0.0,0.006825143937021494,1.9442271877778694e-05,1.0,0.22333333333333333,0.006944478955119848,29.0,0.02197939157485962,3.0474402592517436e-05
delta,2d_ellipse,1123,0.013552089221775532,0.010466366074979305,0.010466366074979305,,,0.005947890691459179,0.010604079812765121,0.007604198530316353,0.014042474329471588,1024.0,4096.0,0.0,0.006866952404379845,2.1367592125898227e-05,1.0,0.2462686567164179,0.005676598288118839,29.0,0.02101324498653412,3.608832412282936e-05
delta,2d_figure_eight,173,0.06753341853618622,0.05295794829726219,0.05295794829726219,,,0.03473735973238945,0.07587412744760513,0.03279606252908707,0.07580600678920746,1024.0,4096.0,0.09833904561033482,0.043051108717918396,0.00048017845256254077,0.3944805194805195,0.801980198019802,0.03190181776881218,29.00146484375,0.05764654278755188,0.0005879343952983618
delta,2d_figure_eight,271,0.0721423327922821,0.05294431746006012,0.05294431746006012,,,0.036698270589113235,0.07955095916986465,0.03544406220316887,0.07721337676048279,1024.0,4096.0,0.10230849947534103,0.04384712502360344,0.0006477389251813293,0.36893203883495146,0.8028169014084507,0.034764789044857025,29.0,0.057226549834012985,0.0005876770010218024
delta,2d_figure_eight,509,0.061781659722328186,0.05014922842383385,0.05014922842383385,,,0.030041856691241264,0.054876457899808884,0.03173980116844177,0.05618409067392349,1024.0,4096.0,0.10142630744849446,0.04050678014755249,0.0004788390942849219,0.39717425431711145,0.8161290322580645,0.031010393053293228,29.0,0.05237462371587753,0.000733849941752851
delta,2d_figure_eight,877,0.040454357862472534,0.029510803520679474,0.029510803520679474,,,0.019910970702767372,0.04876731336116791,0.02054338902235031,0.049377668648958206,1024.0,4096.0,0.03483116192501994,0.026283791288733482,0.00017498870147392154,0.6597402597402597,0.7582089552238805,0.019208598881959915,29.00146484375,0.04177749902009964,0.0008189366781152785
delta,2d_figure_eight,1123,0.05094335228204727,0.04187918081879616,0.04187918081879616,,,0.024890946224331856,0.0471947081387043,0.026052407920360565,0.04914519190788269,1024.0,4096.0,0.06406833956219968,0.030368197709321976,0.0003308421582914889,0.5428571428571428,0.8142857142857143,0.02512553334236145,29.0,0.04470306634902954,0.0006815006490796804
