dataset,method,n,mean,median,std,min,max
2d_ellipse,delta,7,0.01010638608464173,0.006334363017231226,0.009945614141459313,0.004829247482120991,0.03439750894904137
2d_ellipse,eikonal,7,0.033364295427288325,0.011528223752975464,0.037991285571343805,0.007446357049047947,0.10822148621082306
2d_ellipse,vae,7,0.13637561457497732,0.15861032903194427,0.04949184645312718,0.04515979439020157,0.18471147119998932
2d_ellipse,ecomann,7,0.15017358532973699,0.15931786596775055,0.04177549619453433,0.08636204898357391,0.21248513460159302
2d_looped_spiro,delta,7,0.04880877078643867,0.06858320534229279,0.028480907389776735,0.011148378252983093,0.0784696415066719
2d_looped_spiro,eikonal,7,0.054367080330848694,0.02826273813843727,0.053847987910336514,0.015271855518221855,0.17754335701465607
2d_looped_spiro,vae,7,0.10501480741160256,0.10240577161312103,0.04889978670598443,0.04224948585033417,0.20156846940517426
2d_looped_spiro,ecomann,7,0.30636562194143024,0.30022144317626953,0.0356650700327817,0.2607395350933075,0.35665178298950195
2d_planar_arm_line_n2,delta,7,0.09142445081046649,0.036293692886829376,0.09297282205248425,0.028338652104139328,0.2980771064758301
2d_planar_arm_line_n2,eikonal,7,0.09912046630467687,0.037101633846759796,0.09845655311154637,0.0341610424220562,0.2614227533340454
2d_planar_arm_line_n2,vae,7,0.3252507873943874,0.35329964756965637,0.1111258845356448,0.10205939412117004,0.45344388484954834
2d_planar_arm_line_n2,ecomann,7,0.2938315400055477,0.2811852991580963,0.05992854935950082,0.21282222867012024,0.38605931401252747
2d_sparse_sine,delta,7,0.07073141953774861,0.07366421818733215,0.02582999798366999,0.03266522288322449,0.10894019901752472
2d_sparse_sine,eikonal,7,0.03192384328160967,0.03128307685256004,0.0031608169202453633,0.02854016050696373,0.03840512037277222
2d_sparse_sine,vae,7,0.03512844257056713,0.029621930792927742,0.011943929735104062,0.023801803588867188,0.05430283769965172
2d_sparse_sine,ecomann,7,0.31538387707301546,0.2977355718612671,0.06429850286120077,0.2099686861038208,0.408689945936203
3d_planar_arm_line_n3_traj,delta,7,0.1929339553628649,0.1785329282283783,0.052394609316910055,0.12625478208065033,0.27675187587738037
3d_planar_arm_line_n3_traj,eikonal,7,0.17802928813866206,0.15928086638450623,0.047526258962276635,0.13853591680526733,0.2877953350543976
3d_planar_arm_line_n3_traj,vae,7,0.2336278600352151,0.2298503816127777,0.02065799283840984,0.2048845738172531,0.27342474460601807
3d_planar_arm_line_n3_traj,ecomann,7,0.20944256016186305,0.19518744945526123,0.0609819723817358,0.15313048660755157,0.3532857894897461
3d_spatial_arm_ellip_n3,delta,7,0.10473946960909027,0.08314516395330429,0.05415203326590666,0.06031306833028793,0.21618963778018951
3d_spatial_arm_ellip_n3,eikonal,7,0.02024079007761819,0.020128030329942703,0.0018395351726756162,0.01750667579472065,0.023586219176650047
3d_spatial_arm_ellip_n3,vae,7,0.05679022414343698,0.05730249732732773,0.031221687386559106,0.02272873744368553,0.11918370425701141
3d_spatial_arm_ellip_n3,ecomann,7,0.17272040460790908,0.17356522381305695,0.023185741288847254,0.1434929519891739,0.2070668339729309
3d_twosphere_traj,delta,7,0.043184651860169,0.0432104617357254,0.0023162656211155115,0.03981425613164902,0.04717536270618439
3d_twosphere_traj,eikonal,7,0.03776299048747335,0.03769897297024727,0.00039369569998115746,0.037289928644895554,0.03841940313577652
3d_twosphere_traj,vae,7,0.07269855695111412,0.08115462213754654,0.01347671804508306,0.05451811105012894,0.08976386487483978
