method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual,train_seconds
delta,2d_ellipse,173,0.01804930530488491,0.010489895939826965,0.010489895939826965,,,0.00871984101831913,0.023018062114715576,0.00932946428656578,0.022014744579792023,1024.0,4096.0,0.0,2.0197614503558725e-05,1.0,0.693359375,0.007113831117749214,49.0,0.02119613066315651,3.308341547381133e-05,4.773966013002791
delta,2d_ellipse,271,0.015484892763197422,0.011541550979018211,0.011541550979018211,,,0.006900622509419918,0.01830877736210823,0.008584270253777504,0.019167844206094742,1024.0,4096.0,0.0,3.643401214503683e-05,1.0,0.864501953125,0.006334363017231226,49.0,0.018922269344329834,2.898538514273241e-05,3.7304865839978447
delta,2d_ellipse,509,0.013333132490515709,0.010896449908614159,0.010896449908614159,,,0.005601509474217892,0.015775900334119797,0.007731623016297817,0.019055576995015144,1024.0,4096.0,0.0,2.1211699277046137e-05,1.0,0.933349609375,0.005447737872600555,49.0,0.018377451226115227,2.414640039205551e-05,3.700639009999577
delta,2d_ellipse,877,0.01684410125017166,0.008956361562013626,0.008956361562013626,,,0.007841465063393116,0.02694120444357395,0.00900263525545597,0.020975416526198387,1024.0,4096.0,0.0,1.9442271877778694e-05,1.0,0.74169921875,0.006944841705262661,49.0,0.021979324519634247,2.4807455702102743e-05,3.757105393000529
delta,2d_ellipse,1123,0.013552323915064335,0.010466366074979305,0.010466366074979305,,,0.005948257632553577,0.010591420345008373,0.0076040662825107574,0.014041788876056671,1024.0,4096.0,0.0,2.1367592125898227e-05,1.0,0.912353515625,0.00567717244848609,49.0,0.021013300865888596,3.0052022339077666e-05,3.826670820999425
delta,2d_ellipse,2027,0.05691126361489296,0.05647827684879303,0.05647827684879303,,,0.02109365537762642,0.07941655814647675,0.03581760823726654,0.11902084946632385,1024.0,4096.0,0.03472770323599053,0.00042656983714550734,0.89111328125,0.8642578125,0.03439750894904137,50.4169921875,0.07018327713012695,0.00808166153728962,3.636434996002208
delta,2d_ellipse,3251,0.012672909535467625,0.011718220077455044,0.011718220077455044,,,0.005413154140114784,0.013915025629103184,0.00725975539535284,0.017616868019104004,1024.0,4096.0,0.0,2.058478639810346e-05,1.0,0.909912109375,0.004829247482120991,49.0,0.01563262566924095,1.8232633010484278e-05,3.451797620000434
delta,2d_looped_spiro,173,0.09320088475942612,0.028628671541810036,0.028628671541810036,,,0.017753029242157936,0.042159345000982285,0.07544785737991333,0.4301874041557312,1024.0,4096.0,0.02088841882601798,0.00016659912944305688,0.809326171875,0.79931640625,0.07437382638454437,49.25927734375,0.10624179244041443,0.0005150340148247778,3.8069002900010673
delta,2d_looped_spiro,271,0.026577763259410858,0.027994124218821526,0.027994124218821526,,,0.012955952435731888,0.03283931314945221,0.01362181082367897,0.03159160166978836,1024.0,4096.0,0.0005257623554153522,0.00014657521387562156,0.98583984375,0.905029296875,0.011792069301009178,49.0,0.05344558507204056,7.181196997407824e-05,3.8006132160007837
delta,2d_looped_spiro,509,0.09909457713365555,0.040753208100795746,0.040753208100795746,,,0.02733922004699707,0.11116311699151993,0.07175535708665848,0.4063050150871277,1024.0,4096.0,0.04084321475625823,0.00036186567740514874,0.788818359375,0.9052734375,0.07061499357223511,49.000244140625,0.10736490786075592,0.000510590965859592,4.0416814900017926
