dataset,method,n,mean,median,std,min,max
2d_ellipse,delta,7,0.005484425728874547,0.005303164012730122,0.0008763057225598694,0.004349653143435717,0.007151964120566845
2d_ellipse,eikonal,7,0.011052264831960201,0.008657839149236679,0.004790061447555757,0.007655858062207699,0.022281436249613762
2d_ellipse,vae,7,0.1065715311893395,0.11193971335887909,0.029051043472372435,0.043592702597379684,0.14202457666397095
2d_ellipse,ecomann,7,0.11169504480702537,0.11185915768146515,0.02218985687298716,0.07171180099248886,0.13959769904613495
2d_planar_arm_line_n2,delta,7,0.011003953005586351,0.011881045065820217,0.002474375536249343,0.007001540623605251,0.014696778729557991
2d_planar_arm_line_n2,eikonal,7,0.008428390603512526,0.008737529627978802,0.0011263676611533355,0.006602770648896694,0.009571746923029423
2d_planar_arm_line_n2,vae,7,0.0433770910437618,0.04272078722715378,0.013166000123432392,0.028334850445389748,0.07072333246469498
2d_planar_arm_line_n2,ecomann,7,0.09710274317434855,0.09383392333984375,0.0188112433406443,0.06796464323997498,0.1262032836675644
2d_sparse_sine,delta,7,0.029056138891194547,0.02284669131040573,0.021208660560696237,0.013036086224019527,0.07975810021162033
2d_sparse_sine,eikonal,7,0.02881929304982935,0.028798570856451988,0.002659511082366489,0.023647142574191093,0.032145749777555466
2d_sparse_sine,vae,7,0.027725004724093845,0.024269483983516693,0.010100809959986919,0.01737499237060547,0.049299683421850204
2d_sparse_sine,ecomann,7,0.32635627474103657,0.32333144545555115,0.05586432400315245,0.2430846095085144,0.40897321701049805
3d_planar_arm_line_n3,delta,7,0.006804788684738534,0.006605776492506266,0.0006421234226051899,0.0061596971936523914,0.008253012783825397
3d_planar_arm_line_n3,eikonal,7,0.007815078699163027,0.00770442932844162,0.0014312132697839313,0.0059186494909226894,0.010857774876058102
3d_planar_arm_line_n3,vae,7,0.01224177357341562,0.013279321603477001,0.0017384934088707786,0.009830938652157784,0.01445190329104662
3d_planar_arm_line_n3,ecomann,7,0.01701785663941077,0.017296740785241127,0.002186346013423682,0.013873226009309292,0.020166907459497452
3d_planar_arm_line_n3_traj,delta,7,0.11741641057389123,0.11881370842456818,0.006164317526413893,0.10774510353803635,0.12633444368839264
3d_planar_arm_line_n3_traj,eikonal,7,0.10651174932718277,0.10079386830329895,0.012262143946199771,0.09425753355026245,0.12356238812208176
3d_planar_arm_line_n3_traj,vae,7,0.14159898247037614,0.1416488140821457,0.010604747730205033,0.12758326530456543,0.15662969648838043
3d_planar_arm_line_n3_traj,ecomann,7,0.1400529146194458,0.1351727545261383,0.01557854272590277,0.11794809997081757,0.16414077579975128
3d_spatial_arm_ellip_n3,delta,7,0.04127363674342632,0.043752800673246384,0.006855421786608993,0.025460993871092796,0.047057297080755234
3d_spatial_arm_ellip_n3,eikonal,7,0.007622660935989448,0.007170886732637882,0.0011494701638711043,0.0056614684872329235,0.009035011753439903
3d_spatial_arm_ellip_n3,vae,7,0.02226701139339379,0.0212181955575943,0.009076456621198777,0.013197900727391243,0.04261373355984688
3d_spatial_arm_ellip_n3,ecomann,7,0.057470593069280894,0.04971230775117874,0.020675708496309442,0.03393637388944626,0.096243716776371
3d_spatial_arm_ellip_n3_traj,delta,7,0.038308304601481984,0.03659581020474434,0.014418337144309864,0.023974763229489326,0.06948128342628479
