dataset,method,n,mean,median,std,min,max
2d_ellipse,delta,7,0.005005294723170144,0.004729928448796272,0.0008205570632406756,0.003970318008214235,0.006711270194500685
2d_ellipse,eikonal,7,0.023106109217873642,0.008639177307486534,0.03494314780969913,0.007115878164768219,0.10864302515983582
2d_ellipse,vae,7,0.15022242973957742,0.17233897745609283,0.05767587469888634,0.0423414371907711,0.22076745331287384
2d_ellipse,ecomann,7,0.1285590124981744,0.12641097605228424,0.03189087335287573,0.0841398686170578,0.17780238389968872
2d_planar_arm_line_n2,delta,7,0.1397311639572893,0.1229766309261322,0.1033807865702472,0.03312177583575249,0.296302855014801
2d_planar_arm_line_n2,eikonal,7,0.14219725291643823,0.05751234292984009,0.1173116629494706,0.032447315752506256,0.28171345591545105
2d_planar_arm_line_n2,vae,7,0.3700576594897679,0.3904110789299011,0.08703506456319499,0.22912564873695374,0.4764581322669983
2d_planar_arm_line_n2,ecomann,7,0.23325943308217184,0.23809731006622314,0.02864992498354781,0.18980680406093597,0.269420325756073
2d_sparse_sine,delta,7,0.04668184050491878,0.025013882666826248,0.043223391023018844,0.01626473292708397,0.14287856221199036
2d_sparse_sine,eikonal,7,0.030035514118415967,0.03061782754957676,0.00271143422309895,0.02566026896238327,0.03325613588094711
2d_sparse_sine,vae,7,0.025885128815259253,0.023396356031298637,0.007992670141488124,0.017601532861590385,0.04436971992254257
2d_sparse_sine,ecomann,7,0.28252363204956055,0.26730602979660034,0.05773797734701423,0.20091509819030762,0.3687901198863983
3d_planar_arm_line_n3,delta,7,0.11837140364306313,0.11464519798755646,0.05242657789626559,0.055199362337589264,0.224387064576149
3d_planar_arm_line_n3,eikonal,7,0.16415067336388997,0.1077871322631836,0.09475955186629342,0.07371169328689575,0.301334023475647
3d_planar_arm_line_n3,vae,7,0.3058467549937112,0.29553526639938354,0.05080417036041195,0.2361713945865631,0.3970189094543457
3d_planar_arm_line_n3,ecomann,7,0.31812203356197905,0.2800036370754242,0.09473971786832835,0.2024889886379242,0.5152350664138794
3d_planar_arm_line_n3_traj,delta,7,0.18777691679341452,0.17093801498413086,0.0382282698202325,0.14561665058135986,0.26705560088157654
3d_planar_arm_line_n3_traj,eikonal,7,0.20498211681842804,0.14640244841575623,0.09198602342436121,0.10880547761917114,0.3421124219894409
3d_planar_arm_line_n3_traj,vae,7,0.2251961295093809,0.22731254994869232,0.02547962782377966,0.1931661069393158,0.27073028683662415
3d_planar_arm_line_n3_traj,ecomann,7,0.16400357016495296,0.18102823197841644,0.029484419391811297,0.11512438952922821,0.19301562011241913
3d_spatial_arm_ellip_n3,delta,7,0.15246581818376267,0.15118567645549774,0.011390073088977637,0.13864684104919434,0.1777021884918213
3d_spatial_arm_ellip_n3,eikonal,7,0.01978046859481505,0.019756194204092026,0.0028859080989450748,0.014635060913860798,0.0237608402967453
3d_spatial_arm_ellip_n3,vae,7,0.05250563791819981,0.04743457958102226,0.014763353154127537,0.03720330446958542,0.08201584219932556
3d_spatial_arm_ellip_n3,ecomann,7,0.14788371856723512,0.15366287529468536,0.061815726055421565,0.07824587821960449,0.2528977394104004
3d_spatial_arm_ellip_n3_traj,delta,7,0.16488039919308253,0.14190176129341125,0.07674475772435356,0.055711016058921814,0.3254539370536804
3d_spatial_arm_ellip_n3_traj,eikonal,7,0.03245056154472487,0.03206232562661171,0.0033268673412239704,0.028157632797956467,0.03857481852173805
3d_spatial_arm_ellip_n3_traj,vae,7,0.07374464933361326,0.07852628827095032,0.015609942056154137,0.05427881330251694,0.10059148073196411
3d_spatial_arm_ellip_n3_traj,ecomann,7,0.2422976153237479,0.19285373389720917,0.19826405738467576,0.10522077977657318,0.7199817895889282
3d_twosphere,delta,7,0.03177728903080736,0.031188085675239563,0.0015694280376923988,0.029447944834828377,0.0344054214656353
3d_twosphere,eikonal,7,0.02719895914196968,0.027055663987994194,0.00039018732539788123,0.02677188441157341,0.02796359919011593
3d_twosphere,vae,7,0.04447060238037791,0.03709600865840912,0.01271099659602686,0.035541143268346786,0.06787018477916718
