dataset,method,n,mean,median,std,min,max
2d_ellipse,delta,7,3.4847466961405837,3.454476031998638,0.27153114044608434,3.1660282389784697,4.008512022992363
2d_ellipse,eikonal,7,2.7178562021456725,2.718126438994659,0.04990165728733102,2.6182441220153123,2.7841923939995468
2d_ellipse,vae,7,1.0200372902867716,1.019128510990413,0.024709894552022705,0.9840521890146192,1.0597362889966462
2d_ellipse,ecomann,7,13.88887682157552,14.7606712889974,1.2449577768923021,12.35112551500788,15.06794952400378
2d_planar_arm_line_n2,delta,7,517.7159413558547,3.64769568797783,1259.1826822220064,3.543948748992989,3602.0710021639825
2d_planar_arm_line_n2,eikonal,7,4.652574346425744,4.5966105129919015,0.19704316674881653,4.451241583010415,5.092491743009305
2d_planar_arm_line_n2,vae,7,1.1043692992825527,1.1050927119795233,0.05576328846244022,1.020459554012632,1.2064747620024718
2d_planar_arm_line_n2,ecomann,7,13.61587245242637,13.377796968998155,1.2503607970448174,11.27431633399101,14.908936713996809
2d_sparse_sine,delta,7,3.0090225944170794,2.9997048499935772,0.10741057105291518,2.8522372620063834,3.2182222989795264
2d_sparse_sine,eikonal,7,2.694356714849294,2.6575891149987,0.11466656070054672,2.55640828498872,2.871160886978032
2d_sparse_sine,vae,7,1.0300227245690101,1.0273673229967244,0.04050839029219801,0.9748055209929589,1.086435780976899
2d_sparse_sine,ecomann,7,2.569053183858549,2.5644578069914132,0.06411613487234302,2.4900000329944305,2.694372708996525
3d_planar_arm_line_n3,delta,7,13.927455655860415,13.860089053021511,0.19604482926636446,13.709174921998056,14.360903712979052
3d_planar_arm_line_n3,eikonal,7,9.871599403717223,9.823871974018402,0.45332156924502004,9.378335695975693,10.695104329002788
3d_planar_arm_line_n3,vae,7,4.12450300657656,4.111411969992332,0.0600142896740315,4.012477594020311,4.194027848017868
3d_planar_arm_line_n3,ecomann,7,22.861105775996943,23.313033566984814,0.7790878691352404,21.825569893990178,23.806340985000134
3d_planar_arm_line_n3_traj,delta,7,58.428536526147845,58.25175564701203,0.3802516483090057,58.1739291989943,59.31051397501142
3d_planar_arm_line_n3_traj,eikonal,7,61.83233925286082,61.99772086800658,0.5347093422139229,60.552692281024065,62.31096211299882
3d_planar_arm_line_n3_traj,vae,7,16.313253224004125,16.34552896101377,0.2664019633765403,15.938754600007087,16.695910918002483
3d_planar_arm_line_n3_traj,ecomann,7,81.59353960470928,82.03507076299866,1.1611186855212474,79.7374811010086,83.00003206200199
3d_spatial_arm_ellip_n3,delta,7,3.606449413287919,3.5837085919920355,0.08722768748859006,3.534620274993358,3.8133483190031257
3d_spatial_arm_ellip_n3,eikonal,7,11.551931112717805,11.363641146977898,0.37370240045992914,11.10854570500669,12.255770279007265
3d_spatial_arm_ellip_n3,vae,7,2.2194197491501524,2.223631186003331,0.06321857260756367,2.1092329910025,2.3307820680201985
3d_spatial_arm_ellip_n3,ecomann,7,48.82646724399611,48.921353612997336,0.6670956585227116,47.97512831600034,49.80108272799407
3d_spatial_arm_ellip_n3_traj,delta,7,7.23781780657425,7.262094756995793,0.16783785594442083,6.984701167006278,7.508564026997192
3d_spatial_arm_ellip_n3_traj,eikonal,7,6.764090977991665,6.730184477986768,0.3004282377826393,6.353075628983788,7.239677773002768
3d_spatial_arm_ellip_n3_traj,vae,7,2.109776214143494,2.099250249011675,0.07451566702715912,2.008791220985586,2.257345997990342
3d_spatial_arm_ellip_n3_traj,ecomann,7,47.779293115429546,47.64811553800246,0.7083986739877128,47.13529233497684,49.4190706940135
3d_twosphere,delta,7,13.929550352568706,14.072212298982777,0.21292460140712313,13.666344978992129,14.199366488988744
3d_twosphere,eikonal,7,16.03805383184642,16.043795279983897,0.2620721433095245,15.622792443988146,16.522517029981827
3d_twosphere,vae,7,4.272912940426197,4.20568689701031,0.19017586324808078,4.064810874988325,4.701841867004987
3d_twosphere,ecomann,7,13.484784545855032,13.33919577600318,0.5792773606765085,12.627090966998367,14.272335279994877
3d_twosphere_traj,delta,7,14.057172215572791,14.00390006400994,0.3515439601941996,13.520842227997491,14.488187476992607
3d_twosphere_traj,eikonal,7,16.266773984426568,16.240335332026007,0.37263601777694444,15.736409231991274,17.015296714002034
3d_twosphere_traj,vae,7,4.117448608428406,4.1070874569995794,0.15932363368922228,3.948931831982918,4.40119450801285
3d_twosphere_traj,ecomann,7,12.296513450007685,12.215460150997387,0.8663355953859454,10.567176222015405,13.538341581006534
3d_torus_surface,delta,7,7.006842580428513,6.994674281013431,0.19190815369011796,6.741682158986805,7.220120185986161
3d_torus_surface,eikonal,7,16.382908698287793,16.25799721601652,0.20987829350850973,16.14739452599315,16.73432215899811
3d_torus_surface,vae,7,4.22983113186118,4.247446141002001,0.06349888139761031,4.096243775013136,4.309765241021523
3d_torus_surface,ecomann,7,9.778113396850781,9.848001996986568,0.24638429032266226,9.39085445998353,10.08370638199267
3d_torus_surface_traj,delta,7,6.980016706565428,6.9705716029857285,0.14448765269443964,6.746684328012634,7.180487187986728
3d_torus_surface_traj,eikonal,7,16.015517157419318,16.08888769999612,0.14427031936444223,15.749497305980185,16.151885019004112
3d_torus_surface_traj,vae,7,4.050994884996077,4.029333710990613,0.1407865670090931,3.865391761995852,4.335086814011447
3d_torus_surface_traj,ecomann,7,9.938287995568576,9.47708244799287,1.6086819170452646,8.113759453990497,12.992015618016012
3d_vz_2d_ellipse,delta,7,3.4216744962946644,3.4266236260009464,0.10554116403165698,3.252470170002198,3.568393522000406
3d_vz_2d_ellipse,eikonal,7,6.475170767716398,6.492094417015323,0.15889779706281174,6.227457119995961,6.755336948001059
3d_vz_2d_ellipse,vae,7,1.134027149287119,1.1100981360068545,0.05449432517075833,1.0772682380047627,1.2231795769766904
3d_vz_2d_ellipse,ecomann,7,29.90080567143741,29.796869027020875,3.0559498684992725,25.95386867399793,34.75339090102352
3d_vz_2d_ellipse_traj,delta,7,3.6360148234276233,3.5938586950069293,0.1232628858776689,3.4640745939977933,3.826743195997551
3d_vz_2d_ellipse_traj,eikonal,7,6.382887762858965,6.39690113402321,0.0809774414146945,6.218636510020588,6.508099243976176
3d_vz_2d_ellipse_traj,vae,7,1.1348456541433865,1.102350433007814,0.08990631941869377,1.0276494270074181,1.2829868999833707
