dataset,method,n,mean,median,std,min,max
2DEllipse,ONCL (Ours),7,0.023106109217873642,0.008639177307486534,0.03494314780969913,0.007115878164768219,0.10864302515983582
2DEllipse,DataAug,7,0.005005294723170144,0.004729928448796272,0.0008205570632406756,0.003970318008214235,0.006711270194500685
2DEllipse,VAE,7,0.15022242973957742,0.17233897745609283,0.05767587469888634,0.0423414371907711,0.22076745331287384
2DEllipse,ECoMaNN,7,0.1285590124981744,0.12641097605228424,0.03189087335287573,0.0841398686170578,0.17780238389968872
2DPlanarArmLine,ONCL (Ours),7,0.14219725291643823,0.05751234292984009,0.1173116629494706,0.032447315752506256,0.28171345591545105
2DPlanarArmLine,DataAug,7,0.1397311639572893,0.1229766309261322,0.1033807865702472,0.03312177583575249,0.296302855014801
2DPlanarArmLine,VAE,7,0.3700576594897679,0.3904110789299011,0.08703506456319499,0.22912564873695374,0.4764581322669983
2DPlanarArmLine,ECoMaNN,7,0.23325943308217184,0.23809731006622314,0.02864992498354781,0.18980680406093597,0.269420325756073
2DSineSparse,ONCL (Ours),7,0.030035514118415967,0.03061782754957676,0.00271143422309895,0.02566026896238327,0.03325613588094711
2DSineSparse,DataAug,7,0.04668184050491878,0.025013882666826248,0.043223391023018844,0.01626473292708397,0.14287856221199036
2DSineSparse,VAE,7,0.025885128815259253,0.023396356031298637,0.007992670141488124,0.017601532861590385,0.04436971992254257
2DSineSparse,ECoMaNN,7,0.28252363204956055,0.26730602979660034,0.05773797734701423,0.20091509819030762,0.3687901198863983
3DPlanarArmLine,ONCL (Ours),7,0.20498211681842804,0.14640244841575623,0.09198602342436121,0.10880547761917114,0.3421124219894409
3DPlanarArmLine,DataAug,7,0.18777691679341452,0.17093801498413086,0.0382282698202325,0.14561665058135986,0.26705560088157654
3DPlanarArmLine,VAE,7,0.2251961295093809,0.22731254994869232,0.02547962782377966,0.1931661069393158,0.27073028683662415
3DPlanarArmLine,ECoMaNN,7,0.16400357016495296,0.18102823197841644,0.029484419391811297,0.11512438952922821,0.19301562011241913
3DArmEllipse,ONCL (Ours),7,0.03245056154472487,0.03206232562661171,0.0033268673412239704,0.028157632797956467,0.03857481852173805
3DArmEllipse,DataAug,7,0.16488039919308253,0.14190176129341125,0.07674475772435356,0.055711016058921814,0.3254539370536804
3DArmEllipse,VAE,7,0.07374464933361326,0.07852628827095032,0.015609942056154137,0.05427881330251694,0.10059148073196411
3DArmEllipse,ECoMaNN,7,0.2422976153237479,0.19285373389720917,0.19826405738467576,0.10522077977657318,0.7199817895889282
3DTwoSphere,ONCL (Ours),7,0.027743751715336527,0.02773641236126423,0.0003980775029609431,0.027197962626814842,0.028261294588446617
3DTwoSphere,DataAug,7,0.03322580137423107,0.03288988023996353,0.0014583869784866612,0.03159995749592781,0.036410361528396606
3DTwoSphere,VAE,7,0.05384114171777453,0.05159371718764305,0.006996235789512549,0.04450874775648117,0.06756004691123962
3DTwoSphere,ECoMaNN,7,0.289750086409705,0.2859918475151062,0.07108862851754788,0.1711840182542801,0.38081997632980347
3DTwistedEliip,ONCL (Ours),7,0.006835545546242169,0.006850298028439283,0.0004945617304343916,0.006000266410410404,0.007532133720815182
3DTwistedEliip,DataAug,7,0.19564116852624075,0.17902830243110657,0.054819667284985836,0.15050052106380463,0.32611680030822754
3DTwistedEliip,VAE,7,0.1195465134722846,0.09257671236991882,0.070703162913288,0.020500607788562775,0.22437286376953125
3DTwistedEliip,ECoMaNN,7,0.2504590962614332,0.19351547956466675,0.14471318893799853,0.13032418489456177,0.5878564715385437
3DTorus,ONCL (Ours),7,0.07081548656736102,0.04397445172071457,0.04273939110395602,0.0426018089056015,0.14156025648117065
3DTorus,DataAug,7,0.08452437551958221,0.061514224857091904,0.05678746027890842,0.04662879556417465,0.2165740430355072
3DTorus,VAE,7,0.27149626825537,0.24719911813735962,0.05234541547685114,0.2132495790719986,0.37243491411209106
3DTorus,ECoMaNN,7,0.4867619829518454,0.4752276539802551,0.16149912485722318,0.3179898262023926,0.8338415622711182
6DArmUp,ONCL (Ours),7,0.14103814108031137,0.11810178309679031,0.055167512436096536,0.07098577916622162,0.25112468004226685
6DArmUp,DataAug,7,0.13036939182451793,0.1372893899679184,0.0674228058030519,0.04837007820606232,0.25710999965667725
6DArmUp,VAE,7,0.22878079967839376,0.22042608261108398,0.036833347759328665,0.17431476712226868,0.2797607183456421
6DArmUp,ECoMaNN,7,0.39025854212897165,0.38579773902893066,0.06647316573188014,0.28107786178588867,0.48486554622650146
6DSinePose,ONCL (Ours),7,0.058085071721247265,0.052588336169719696,0.014852292763327711,0.0494513139128685,0.0942101776599884
6DSinePose,DataAug,7,0.11645833189998354,0.10491196066141129,0.021631629125467896,0.10244385898113251,0.16547414660453796
6DSinePose,VAE,7,0.08217416277953557,0.0819796770811081,0.00541972131192186,0.07311610877513885,0.0893700048327446
6DSinePose,ECoMaNN,7,0.24672376258032663,0.2482612431049347,0.03728768800293876,0.19115358591079712,0.32036101818084717
