method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual
delta,6d_spatial_arm_up_n6,173,0.7037659883499146,0.08004254102706909,0.08004254102706909,,,0.4252181947231293,0.8011324405670166,0.2785477638244629,0.43624770641326904,1024.0,4096.0,0.0126953125,0.0011444424744695425,0.000244140625,0.00390625,0.20039033889770508,36.62255859375,1.2169653177261353,0.277131587266922
delta,6d_spatial_arm_up_n6,271,0.6560364365577698,0.08894920349121094,0.08894920349121094,,,0.37876594066619873,0.6672371625900269,0.27727049589157104,0.4312456250190735,1024.0,4096.0,0.016357421875,0.0015726769343018532,0.0,0.0078125,0.19741424918174744,33.19287109375,1.17918062210083,0.33185356855392456
delta,6d_spatial_arm_up_n6,509,0.687914252281189,0.07866901904344559,0.07866901904344559,,,0.41304606199264526,0.7606024146080017,0.2748681902885437,0.42888206243515015,1024.0,4096.0,0.01025390625,0.0010401024483144283,0.000244140625,0.00439453125,0.19774726033210754,35.928955078125,1.1783210039138794,0.4023285508155823
delta,6d_spatial_arm_up_n6,877,0.6372095346450806,0.06307006627321243,0.06307006627321243,,,0.3465297222137451,0.629398763179779,0.29067981243133545,0.45256170630455017,1024.0,4096.0,0.013427734375,0.0007467749528586864,0.0,0.009033203125,0.2088443487882614,34.034912109375,1.140270709991455,0.39819324016571045
delta,6d_spatial_arm_up_n6,1123,0.6853431463241577,0.07141818851232529,0.07141818851232529,,,0.4065047800540924,0.7371253967285156,0.2788383364677429,0.4372650384902954,1024.0,4096.0,0.010498046875,0.0010030062403529882,0.000732421875,0.011474609375,0.20023834705352783,39.859619140625,1.2069668769836426,0.4484884738922119
eikonal,6d_spatial_arm_up_n6,173,0.619097888469696,0.1059628278017044,0.1059628278017044,,,0.3222532570362091,0.539250373840332,0.29684463143348694,0.47701337933540344,1024.0,4096.0,0.010498046875,0.0038660611025989056,0.0,0.001953125,0.21508371829986572,29.103271484375,1.1612350940704346,0.35031622648239136
eikonal,6d_spatial_arm_up_n6,271,0.6365575790405273,0.10741433501243591,0.10741433501243591,,,0.34753409028053284,0.5904615521430969,0.2890234887599945,0.4563499689102173,1024.0,4096.0,0.009521484375,0.0035702865570783615,0.0,0.001708984375,0.2077122926712036,30.145751953125,1.1975252628326416,0.27863645553588867
eikonal,6d_spatial_arm_up_n6,509,0.6042276620864868,0.09736863523721695,0.09736863523721695,,,0.3094332218170166,0.5350332260131836,0.2947944700717926,0.462081640958786,1024.0,4096.0,0.0068359375,0.0028080272022634745,0.000244140625,0.001953125,0.214485302567482,29.06884765625,1.131235122680664,0.3086492717266083
eikonal,6d_spatial_arm_up_n6,877,0.6326310634613037,0.10082121193408966,0.10082121193408966,,,0.34358322620391846,0.5818310976028442,0.28904783725738525,0.45707353949546814,1024.0,4096.0,0.00439453125,0.0035155522637069225,0.000244140625,0.000732421875,0.20754987001419067,29.99853515625,1.2089335918426514,0.34878936409950256
eikonal,6d_spatial_arm_up_n6,1123,0.6193745732307434,0.09164487570524216,0.09164487570524216,,,0.32868170738220215,0.5669664144515991,0.29069286584854126,0.4585496187210083,1024.0,4096.0,0.00732421875,0.002550798002630472,0.000244140625,0.00146484375,0.2125847190618515,29.005126953125,1.1761019229888916,0.3056209981441498
vae,6d_spatial_arm_up_n6,173,0.6669516563415527,0.2412160336971283,0.2412160336971283,0.5649226307868958,0.24012690782546997,0.35706210136413574,0.687785267829895,0.309889554977417,0.48758119344711304,1024.0,4096.0,0.01416015625,0.015895966440439224,0.0,0.000732421875,0.23188774287700653,1.0,1.2049775123596191,0.5563024282455444
vae,6d_spatial_arm_up_n6,271,0.6588401794433594,0.21431046724319458,0.21431046724319458,0.5748268365859985,0.23220881819725037,0.34968215227127075,0.6331055164337158,0.30915799736976624,0.47764474153518677,1024.0,4096.0,0.00732421875,0.012806979939341545,0.0,0.00048828125,0.22749453783035278,1.0,1.239884853363037,0.7260656952857971
vae,6d_spatial_arm_up_n6,509,0.6485618352890015,0.2697981297969818,0.2697981297969818,0.5624110698699951,0.22469210624694824,0.35110920667648315,0.6772244572639465,0.2974526286125183,0.45962733030319214,1024.0,4096.0,0.01123046875,0.01799677684903145,0.0,0.001220703125,0.21870888769626617,1.0,1.2050416469573975,0.5536665320396423
vae,6d_spatial_arm_up_n6,877,0.6715619564056396,0.2735672891139984,0.2735672891139984,0.5701984763145447,0.24194496870040894,0.3581547737121582,0.6611964106559753,0.31340715289115906,0.4842091500759125,1024.0,4096.0,0.014404296875,0.019234564155340195,0.0,0.000244140625,0.2316499650478363,1.0,1.2287728786468506,0.6350776553153992
vae,6d_spatial_arm_up_n6,1123,0.666718065738678,0.22107665240764618,0.22107665240764618,0.5752496719360352,0.2252187430858612,0.3628244996070862,0.6782374978065491,0.3038935661315918,0.47269365191459656,1024.0,4096.0,0.01220703125,0.01417621225118637,0.000244140625,0.0,0.22519582509994507,1.0,1.2693166732788086,0.6415109634399414
