method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual,train_seconds
delta,3d_torus_surface,0,0.16215971112251282,0.008460952900350094,0.008460952900350094,,,0.05795784294605255,0.11952877044677734,0.10420186817646027,0.20565959811210632,1024.0,4096.0,0.00481500253421186,1.4408118659048341e-05,0.543212890625,0.854248046875,0.05761167034506798,49.0,0.06036248803138733,4.4131549657322466e-05,7.657656315001077
delta,3d_torus_surface,1,0.19026131927967072,0.020528055727481842,0.020528055727481842,,,0.06540483236312866,0.13123375177383423,0.12485648691654205,0.3076232373714447,1024.0,4096.0,0.030972328002030973,7.552119495812804e-05,0.456298828125,0.8701171875,0.08261685073375702,49.159423828125,0.11438372731208801,0.0006662762607447803,7.27827152700047
delta,3d_torus_surface,2,0.16431766748428345,0.012024910189211369,0.012024910189211369,,,0.059596430510282516,0.12052224576473236,0.10472123324871063,0.20398303866386414,1024.0,4096.0,0.00784412955465587,2.6850695576285943e-05,0.53369140625,0.891357421875,0.05845889076590538,49.0,0.062223270535469055,4.098272620467469e-05,7.257967124009156
delta,3d_torus_surface_traj,0,0.21254122257232666,0.024461712688207626,0.024461712688207626,,,0.10315568745136261,0.36945611238479614,0.10938553512096405,0.20231300592422485,1024.0,4096.0,0.017866258295048495,0.000142886012326926,0.437255859375,0.50634765625,0.06711529940366745,49.0234375,0.12490562349557877,0.0001738582504913211,7.402395623008488
delta,3d_torus_surface_traj,1,0.5247901678085327,0.04858480021357536,0.04858480021357536,,,0.26730796694755554,0.7814127802848816,0.2574822008609772,0.9923642873764038,1024.0,4096.0,0.05811878664287535,0.0007554310141131282,0.2265625,0.29248046875,0.22649164497852325,49.091064453125,0.3313544690608978,0.0028461201582103968,6.795197522005765
delta,3d_torus_surface_traj,2,0.17425653338432312,0.041686590760946274,0.041686590760946274,,,0.06896901875734329,0.15499913692474365,0.10528751462697983,0.19957304000854492,1024.0,4096.0,0.030148185998978026,0.00034048594534397125,0.493408203125,0.780029296875,0.06205632537603378,49.091552734375,0.1169513463973999,0.00025411081151105464,7.259445916002733
eikonal,3d_torus_surface,0,0.163200244307518,0.01044382806867361,0.01044382806867361,,,0.05919402465224266,0.12230487912893295,0.10400621592998505,0.20383764803409576,1024.0,4096.0,0.007602635580334516,1.9431352484389208e-05,0.543212890625,0.8984375,0.05784380063414574,19.0,0.060993924736976624,0.0007303262827917933,16.441078571995604
eikonal,3d_torus_surface,1,0.16233086585998535,0.011507703922688961,0.011507703922688961,,,0.05859809368848801,0.11651284247636795,0.10373277217149734,0.20103409886360168,1024.0,4096.0,0.009393247017009393,2.4105127522489056e-05,0.543701171875,0.907470703125,0.058142341673374176,19.0,0.06144988536834717,0.0006343944696709514,16.653204772999743
eikonal,3d_torus_surface,2,0.1639508455991745,0.00859775673598051,0.00859775673598051,,,0.059870049357414246,0.12367307394742966,0.10408079624176025,0.2005215287208557,1024.0,4096.0,0.006325910931174089,1.521997091913363e-05,0.53955078125,0.876220703125,0.058110401034355164,19.0,0.05933313071727753,0.0006364065920934081,15.74485054401157
eikonal,3d_torus_surface_traj,0,0.16909560561180115,0.009670193307101727,0.009670193307101727,,,0.06547155976295471,0.15508787333965302,0.10362403839826584,0.20201750099658966,1024.0,4096.0,0.008933129147524248,1.9118935597361997e-05,0.52783203125,0.78955078125,0.059716977179050446,19.0,0.06184574216604233,0.0006459653377532959,16.09040413099865
eikonal,3d_torus_surface_traj,1,0.17642724514007568,0.014698363840579987,0.014698363840579987,,,0.07116913795471191,0.15241564810276031,0.10525809973478317,0.19882845878601074,1024.0,4096.0,0.013510068824878919,4.272632213542238e-05,0.480712890625,0.640625,0.06247073784470558,19.0,0.06727878749370575,0.0005912851775065064,16.3004760860058
eikonal,3d_torus_surface_traj,2,0.28001734614372253,0.014726714231073856,0.014726714231073856,,,0.08630084991455078,0.2220214158296585,0.19371649622917175,0.8532638549804688,1024.0,4096.0,0.018395503321410323,4.41479314758908e-05,0.409912109375,0.58349609375,0.15594342350959778,19.000244140625,0.17764747142791748,0.0014087940799072385,15.691572223004187
vae,3d_torus_surface,0,0.5841112732887268,0.2707386910915375,0.2707386910915375,0.4066559970378876,0.23228664696216583,0.17551513016223907,0.41964980959892273,0.4085961580276489,1.322256326675415,1024.0,4096.0,0.23568170299037,0.01676487736403942,0.11083984375,0.672607421875,0.38309088349342346,1.0,0.6334115266799927,0.2306922972202301,3.9084113230055664
vae,3d_torus_surface,1,0.5427671670913696,0.26164481043815613,0.26164481043815613,0.3471440076828003,0.18354880809783936,0.1660154014825821,0.4075603783130646,0.37675178050994873,1.235227346420288,1024.0,4096.0,0.24828636709824828,0.015330884605646133,0.11279296875,0.70361328125,0.35238978266716003,1.0,0.6107890009880066,0.2074202001094818,4.031252148997737
vae,3d_torus_surface,2,0.5656296610832214,0.27710047364234924,0.27710047364234924,0.3821171522140503,0.21455354988574982,0.1691531538963318,0.415075421333313,0.39647650718688965,1.2292652130126953,1024.0,4096.0,0.22722672064777327,0.017313595861196518,0.112548828125,0.69140625,0.3737911581993103,1.0,0.6350389719009399,0.29839038848876953,3.9900465730024735
vae,3d_torus_surface_traj,0,0.5086259841918945,0.13737852871418,0.13737852871418,0.41703954339027405,0.15622195601463318,0.25688037276268005,0.6977803111076355,0.2517456114292145,0.7719677686691284,1024.0,4096.0,0.0638080653394589,0.003846926148980856,0.200927734375,0.24609375,0.22224591672420502,1.0,0.6213154196739197,0.22364896535873413,4.004116192008951
vae,3d_torus_surface_traj,1,0.5533343553543091,0.12906639277935028,0.12906639277935028,0.4472128450870514,0.1570940911769867,0.28181546926498413,0.7034819722175598,0.27151888608932495,0.8562644124031067,1024.0,4096.0,0.054804996176395615,0.0037130936980247498,0.189453125,0.17822265625,0.24596336483955383,1.0,0.5868322253227234,0.21769776940345764,4.244240592001006
vae,3d_torus_surface_traj,2,0.5117090940475464,0.1049637496471405,0.1049637496471405,0.40960022807121277,0.1543433964252472,0.23433643579483032,0.6693527698516846,0.27737265825271606,0.9189294576644897,1024.0,4096.0,0.03551354113438937,0.0027417088858783245,0.19091796875,0.2294921875,0.24793633818626404,1.0,0.5635523200035095,0.1944408416748047,4.025304619994131
ecomann,3d_torus_surface,0,0.6358903646469116,0.6914498209953308,0.6914498209953308,,,0.29226166009902954,0.6145873069763184,0.3436287045478821,0.6870262026786804,1024.0,4096.0,0.6680182463253928,0.09618613868951797,0.015625,0.90283203125,0.3228302001953125,2.73095703125,0.35268014669418335,0.006480500102043152,10.4889845699945
ecomann,3d_torus_surface,1,0.8196007013320923,0.4696003496646881,0.4696003496646881,,,0.39013993740081787,0.622357964515686,0.4294607639312744,0.7152637839317322,1024.0,4096.0,0.6486417872556487,0.06650080531835556,0.0,0.873291015625,0.41425052285194397,3.12451171875,0.4361240863800049,0.0023300019092857838,10.324534200990456
ecomann,3d_torus_surface,2,0.4660798907279968,0.42861393094062805,0.42861393094062805,,,0.20959991216659546,0.4715449810028076,0.25647997856140137,0.5927318334579468,1024.0,4096.0,0.5043016194331984,0.0335543155670166,0.081298828125,0.903564453125,0.22988925874233246,2.881591796875,0.28914016485214233,0.0019327460322529078,9.797479914996075
ecomann,3d_torus_surface_traj,0,0.7044864296913147,0.35459011793136597,0.35459011793136597,,,0.34624433517456055,0.7557454109191895,0.35824209451675415,0.8044525980949402,1024.0,4096.0,0.6245533435426238,0.025287412106990814,0.0400390625,0.7861328125,0.33593571186065674,3.23828125,0.49143874645233154,0.005555710289627314,11.164020648997393
ecomann,3d_torus_surface_traj,1,0.6282686591148376,0.3373902142047882,0.3373902142047882,,,0.2828632593154907,0.5674866437911987,0.3454053997993469,0.7654029130935669,1024.0,4096.0,0.5215396380321182,0.03155986964702606,0.044189453125,0.8037109375,0.32379835844039917,3.655517578125,0.440680593252182,0.008700426667928696,13.688796968999668
ecomann,3d_torus_surface_traj,2,0.7456806898117065,0.4712744653224945,0.4712744653224945,,,0.31516897678375244,0.6529471278190613,0.4305117130279541,1.2345036268234253,1024.0,4096.0,0.6691364333163005,0.04325089976191521,0.045166015625,0.826171875,0.41232797503471375,3.244873046875,0.5399253368377686,0.013094611465930939,9.540649043003214
