method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual,train_seconds
eikonal,12d_dual_arm,0,0.14021660387516022,0.009705377742648125,0.009705377742648125,,,0.07991484552621841,0.18091920018196106,0.0603017620742321,0.11396430432796478,8128.0,4096.0,0.0,2.942778701253701e-05,0.957763671875,0.9004675196850394,0.01963297463953495,19.00244140625,1.1035230159759521,0.0022914945147931576,83.92772088601487
eikonal,12d_dual_arm,1,0.141932412981987,0.010815671645104885,0.010815671645104885,,,0.08239005506038666,0.2035827785730362,0.05954236164689064,0.1131829097867012,8128.0,4096.0,0.0,3.017132985405624e-05,0.9580078125,0.8917322834645669,0.018031492829322815,19.0,1.1013152599334717,0.0022678272798657417,117.98208654898917
eikonal,12d_dual_arm,2,0.1417965292930603,0.012019464746117592,0.012019464746117592,,,0.08259745687246323,0.19772367179393768,0.05919907987117767,0.11419530212879181,8128.0,4096.0,0.0,3.765505243791267e-05,0.965576171875,0.8976377952755905,0.019647132605314255,19.000244140625,1.1211798191070557,0.002352873794734478,114.63048814295325
eikonal,12d_dual_arm,3,0.14400044083595276,0.01804364286363125,0.01804364286363125,,,0.0821494311094284,0.19565671682357788,0.06185101717710495,0.11787015199661255,8128.0,4096.0,0.0,6.529992970172316e-05,0.86328125,0.8982529527559056,0.022983761504292488,19.0,1.1094334125518799,0.0022819878067821264,78.7449425230152
eikonal,12d_dual_arm,4,0.14324429631233215,0.01365057472139597,0.01365057472139597,,,0.08213876932859421,0.1946871131658554,0.06110552325844765,0.1188046783208847,8128.0,4096.0,0.0,3.984926297562197e-05,0.948486328125,0.8966535433070866,0.02157745510339737,19.000244140625,1.0973684787750244,0.0023397214245051146,70.5807973620249
eikonal,12d_dual_arm,5,0.1443234086036682,0.012239078059792519,0.012239078059792519,,,0.0820646658539772,0.1905621737241745,0.06225873902440071,0.1187698245048523,8128.0,4096.0,0.0,3.593855944927782e-05,0.90478515625,0.9016978346456693,0.023228349164128304,19.0,1.1000444889068604,0.0022579552605748177,72.43229916598648
eikonal,12d_dual_arm,6,0.14164836704730988,0.011701187118887901,0.011701187118887901,,,0.08199000358581543,0.18945343792438507,0.059658363461494446,0.11379394680261612,8128.0,4096.0,0.0,3.490930248517543e-05,0.96240234375,0.9076033464566929,0.01887630671262741,19.000244140625,1.1167805194854736,0.0023076473735272884,78.51674859999912
vae,12d_dual_arm,0,0.16682979464530945,0.23260729014873505,0.23260729014873505,0.16542857885360718,0.07434692233800888,0.09445573389530182,0.17297574877738953,0.07237406075000763,0.12031247466802597,8128.0,4096.0,0.0,0.011558402329683304,0.079345703125,0.8780757874015748,0.05801898241043091,1.0,1.0958518981933594,0.13051337003707886,16.99218361097155
vae,12d_dual_arm,1,0.13556073606014252,0.11642470955848694,0.11642470955848694,0.13537940382957458,0.0580546036362648,0.07966594398021698,0.1584939956665039,0.055894795805215836,0.09999599307775497,8128.0,4096.0,0.0,0.0033285832032561302,0.468505859375,0.8790600393700787,0.03041715919971466,1.0,1.0776712894439697,0.07359055429697037,18.25121467304416
vae,12d_dual_arm,2,0.14413580298423767,0.14442090690135956,0.14442090690135956,0.1430802047252655,0.062590092420578,0.08435630053281784,0.16841697692871094,0.05977950245141983,0.10115621984004974,8128.0,4096.0,0.0,0.004723832942545414,0.217041015625,0.8834891732283464,0.03834260255098343,1.0,1.1084086894989014,0.07540365308523178,17.794663691020105
vae,12d_dual_arm,3,0.15052908658981323,0.14112505316734314,0.14112505316734314,0.15026971697807312,0.06680241227149963,0.08631949871778488,0.16633205115795135,0.06420958042144775,0.11469396203756332,8128.0,4096.0,0.0,0.00516674667596817,0.289306640625,0.9089566929133859,0.04265111684799194,1.0,1.0693747997283936,0.0785326212644577,17.30984649201855
vae,12d_dual_arm,4,0.14463669061660767,0.1296401172876358,0.1296401172876358,0.14078259468078613,0.06184177100658417,0.08489692956209183,0.1720612347126007,0.05973975360393524,0.10481823235750198,8128.0,4096.0,0.0,0.004555138293653727,0.362548828125,0.8839812992125984,0.03615158051252365,1.0,1.0518349409103394,0.08238418400287628,17.490148968005087
vae,12d_dual_arm,5,0.14312560856342316,0.14015717804431915,0.14015717804431915,0.1398264616727829,0.06105911359190941,0.0825144574046135,0.1606817990541458,0.06061114743351936,0.10626169294118881,8128.0,4096.0,0.0,0.004428868647664785,0.30322265625,0.8996062992125984,0.038604699075222015,1.0,1.0742597579956055,0.08127075433731079,17.33432076202007
vae,12d_dual_arm,6,0.19109034538269043,0.1982465386390686,0.1982465386390686,0.1875144988298416,0.08562701940536499,0.10795881599187851,0.20112557709217072,0.08313152194023132,0.1282278150320053,8128.0,4096.0,0.0,0.012059805914759636,0.069091796875,0.8765994094488189,0.07403691858053207,1.0,1.1944130659103394,0.1506974995136261,17.06251307600178
