[run] method=delta dataset=2d_ellipse seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.378416 | on=0.000044 | off=0.037837
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.189641 | on=0.023387 | off=0.016625
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.171743 | on=0.022749 | off=0.014899
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.168406 | on=0.021464 | off=0.014694
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.162520 | on=0.025035 | off=0.013749
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.138880 | on=0.021000 | off=0.011788
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.172880 | on=0.019409 | off=0.015347
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.137010 | on=0.022151 | off=0.011486
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.181915 | on=0.024328 | off=0.015759
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.202736 | on=0.018210 | off=0.018453
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.185409 | on=0.022557 | off=0.016285
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.159848 | on=0.025631 | off=0.013422
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.154178 | on=0.021023 | off=0.013315
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.136676 | on=0.022885 | off=0.011379
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.269639 | on=0.020098 | off=0.024954
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.151369 | on=0.024898 | off=0.012647
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.137002 | on=0.021696 | off=0.011531
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.139386 | on=0.023914 | off=0.011547
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.154883 | on=0.021319 | off=0.013356
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.177783 | on=0.019722 | off=0.015806
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.133977 | on=0.017303 | off=0.011667
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.164946 | on=0.018727 | off=0.014622
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.191280 | on=0.019228 | off=0.017205
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.130029 | on=0.021365 | off=0.010866
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.142903 | on=0.021477 | off=0.012143
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.094935 | on=0.014200 | off=0.008073
