[run] method=delta dataset=2d_ellipse seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=1.403345 | on=0.000044 | off=0.140330
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.684139 | on=0.082301 | off=0.060184
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.658048 | on=0.075492 | off=0.058256
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.586919 | on=0.070640 | off=0.051628
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.552182 | on=0.069127 | off=0.048306
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.534396 | on=0.066527 | off=0.046787
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.522929 | on=0.067947 | off=0.045498
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.401951 | on=0.071328 | off=0.033062
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.513852 | on=0.061384 | off=0.045247
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.408303 | on=0.049831 | off=0.035847
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.243552 | on=0.039528 | off=0.020402
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.233705 | on=0.034211 | off=0.019949
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.188280 | on=0.026070 | off=0.016221
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.108630 | on=0.020604 | off=0.008803
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.112981 | on=0.012534 | off=0.010045
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.066846 | on=0.014895 | off=0.005195
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.085398 | on=0.014213 | off=0.007119
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.057330 | on=0.011847 | off=0.004548
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.065407 | on=0.011000 | off=0.005441
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.049378 | on=0.008920 | off=0.004046
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.050906 | on=0.011775 | off=0.003913
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.049540 | on=0.009128 | off=0.004041
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.045302 | on=0.007940 | off=0.003736
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.046928 | on=0.006926 | off=0.004000
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.037138 | on=0.007985 | off=0.002915
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.030562 | on=0.005601 | off=0.002496
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.018358 | on=0.005270 | off=0.001309
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.030167 | on=0.004156 | off=0.002601
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.023461 | on=0.004876 | off=0.001859
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.017301 | on=0.003290 | off=0.001401
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.015312 | on=0.003896 | off=0.001142
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.013274 | on=0.002593 | off=0.001068
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.014210 | on=0.002712 | off=0.001150
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.012904 | on=0.003281 | off=0.000962
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.012023 | on=0.002832 | off=0.000919
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.009747 | on=0.001570 | off=0.000818
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.011938 | on=0.001815 | off=0.001012
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.014008 | on=0.002037 | off=0.001197
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.010565 | on=0.001422 | off=0.000914
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.006223 | on=0.001489 | off=0.000473
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.005452 | on=0.001331 | off=0.000412
[eval] 2d_ellipse | proj_dist=0.011298 | pred_recall=0.876712 | pred_FPrate=0.046793 | chamfer=0.021536 | gt->learned=0.008629 | learned->gt=0.012907 | space=data_space
/home/baiyu/PycharmProjects/equality_manofld/methods/baseline_udf/plots.py:482: UserWarning: No artists with labels found to put in legend.  Note that artists whose label start with an underscore are ignored when legend() is called with no argument.
  plt.legend()
[done] method=delta dataset=2d_ellipse seed=173 proj_dist=0.011298 recall=0.876712 FPrate=0.046793
[run] method=delta dataset=2d_figure_eight seed=173
