[run] method=delta dataset=2d_ellipse seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.421035 | on=0.000044 | off=0.140330
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.260736 | on=0.052826 | off=0.069303
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.251771 | on=0.054867 | off=0.065635
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.212589 | on=0.049447 | off=0.054381
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.206459 | on=0.046802 | off=0.053219
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.200965 | on=0.043087 | off=0.052626
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.199933 | on=0.044062 | off=0.051957
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.156431 | on=0.048343 | off=0.036029
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.201149 | on=0.040620 | off=0.053510
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.168051 | on=0.034254 | off=0.044599
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.101407 | on=0.025692 | off=0.025238
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.095277 | on=0.029089 | off=0.022063
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.074093 | on=0.015509 | off=0.019528
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.039099 | on=0.011222 | off=0.009292
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.036210 | on=0.006338 | off=0.009957
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.025800 | on=0.007410 | off=0.006130
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.030827 | on=0.007399 | off=0.007809
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.021693 | on=0.007190 | off=0.004834
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.024996 | on=0.006119 | off=0.006292
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.019044 | on=0.004583 | off=0.004820
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.021175 | on=0.006779 | off=0.004799
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.021110 | on=0.005645 | off=0.005155
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.018587 | on=0.004988 | off=0.004533
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.020865 | on=0.006169 | off=0.004898
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.018417 | on=0.004700 | off=0.004572
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.014331 | on=0.003730 | off=0.003534
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.011564 | on=0.003779 | off=0.002595
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.014385 | on=0.003754 | off=0.003544
