[run] method=delta dataset=2d_discontinuous seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.259769 | on=0.009173 | off=0.083532
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.277528 | on=0.062712 | off=0.071605
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.194080 | on=0.060439 | off=0.044547
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.202285 | on=0.047348 | off=0.051646
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.154177 | on=0.054173 | off=0.033335
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.208811 | on=0.046663 | off=0.054050
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.226682 | on=0.039711 | off=0.062324
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.212940 | on=0.046966 | off=0.055325
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.171022 | on=0.040271 | off=0.043584
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.168925 | on=0.042478 | off=0.042149
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.161609 | on=0.034772 | off=0.042279
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.125798 | on=0.041439 | off=0.028120
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.110201 | on=0.025632 | off=0.028190
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.098231 | on=0.026912 | off=0.023773
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.086397 | on=0.020536 | off=0.021954
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.072318 | on=0.021293 | off=0.017008
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.075976 | on=0.020556 | off=0.018473
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.072501 | on=0.020776 | off=0.017242
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.055048 | on=0.016723 | off=0.012775
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.042892 | on=0.016710 | off=0.008727
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.039552 | on=0.013635 | off=0.008639
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.038911 | on=0.015329 | off=0.007861
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.030713 | on=0.009914 | off=0.006933
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.035998 | on=0.007464 | off=0.009511
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.024441 | on=0.010231 | off=0.004737
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.025540 | on=0.009436 | off=0.005368
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.030699 | on=0.009732 | off=0.006989
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.024487 | on=0.009131 | off=0.005119
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.028787 | on=0.007115 | off=0.007224
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.029400 | on=0.007192 | off=0.007403
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.025771 | on=0.006802 | off=0.006323
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.026575 | on=0.005795 | off=0.006927
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.024808 | on=0.006240 | off=0.006189
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.022893 | on=0.005515 | off=0.005793
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.024253 | on=0.008050 | off=0.005401
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.028422 | on=0.009169 | off=0.006418
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.024658 | on=0.007903 | off=0.005585
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.026645 | on=0.007405 | off=0.006413
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.024101 | on=0.007463 | off=0.005546
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.024937 | on=0.010134 | off=0.004934
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.032130 | on=0.007004 | off=0.008375
[eval] 2d_discontinuous | proj_dist=0.023287 | pred_recall=0.750630 | pred_FPrate=0.058665 | chamfer=0.099723 | gt->learned=0.075477 | learned->gt=0.024247 | space=data_space
/home/baiyu/PycharmProjects/equality_manofld/methods/baseline_udf/plots.py:482: UserWarning: No artists with labels found to put in legend.  Note that artists whose label start with an underscore are ignored when legend() is called with no argument.
  plt.legend()
[done] method=delta dataset=2d_discontinuous seed=173 proj_dist=0.023287 recall=0.750630 FPrate=0.058665
[run] method=delta dataset=2d_ellipse seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.421035 | on=0.000044 | off=0.140330
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.260736 | on=0.052826 | off=0.069303
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.251771 | on=0.054867 | off=0.065635
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.212589 | on=0.049447 | off=0.054381
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.206459 | on=0.046802 | off=0.053219
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.200965 | on=0.043087 | off=0.052626
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.199933 | on=0.044062 | off=0.051957
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.156431 | on=0.048343 | off=0.036029
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.201149 | on=0.040620 | off=0.053510
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.168051 | on=0.034254 | off=0.044599
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.101407 | on=0.025692 | off=0.025238
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.095277 | on=0.029089 | off=0.022063
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.074093 | on=0.015509 | off=0.019528
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.039099 | on=0.011222 | off=0.009292
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.036210 | on=0.006338 | off=0.009957
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.025800 | on=0.007410 | off=0.006130
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.030827 | on=0.007399 | off=0.007809
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.021693 | on=0.007190 | off=0.004834
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.024996 | on=0.006119 | off=0.006292
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.019044 | on=0.004583 | off=0.004820
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.021175 | on=0.006779 | off=0.004799
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.021110 | on=0.005645 | off=0.005155
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.018587 | on=0.004988 | off=0.004533
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.020865 | on=0.006169 | off=0.004898
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.018417 | on=0.004700 | off=0.004572
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.014331 | on=0.003730 | off=0.003534
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.011564 | on=0.003779 | off=0.002595
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.014385 | on=0.003754 | off=0.003544
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.013772 | on=0.004328 | off=0.003148
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.011050 | on=0.002858 | off=0.002731
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.009736 | on=0.003844 | off=0.001964
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.009695 | on=0.002748 | off=0.002316
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.009127 | on=0.003116 | off=0.002004
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.009516 | on=0.002778 | off=0.002246
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.007993 | on=0.002202 | off=0.001930
