[run] method=delta dataset=3d_0z_2d_discontinuous seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.390120 | on=0.001492 | off=0.129543
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.241888 | on=0.058501 | off=0.061129
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.213903 | on=0.053666 | off=0.053412
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.180266 | on=0.040445 | off=0.046607
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.057613 | on=0.022046 | off=0.011856
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.052133 | on=0.009881 | off=0.014084
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.058769 | on=0.008334 | off=0.016812
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.034281 | on=0.010606 | off=0.007892
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.034680 | on=0.010900 | off=0.007926
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.039682 | on=0.009373 | off=0.010103
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.034814 | on=0.007308 | off=0.009169
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.024788 | on=0.009306 | off=0.005161
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.024942 | on=0.008742 | off=0.005400
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.026410 | on=0.009825 | off=0.005528
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.018256 | on=0.007955 | off=0.003434
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.020535 | on=0.006675 | off=0.004620
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.016980 | on=0.005686 | off=0.003764
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.016733 | on=0.005145 | off=0.003863
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.014174 | on=0.004590 | off=0.003195
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.012542 | on=0.004460 | off=0.002694
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.010659 | on=0.003697 | off=0.002321
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.009667 | on=0.003388 | off=0.002093
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.008489 | on=0.002901 | off=0.001863
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.008044 | on=0.002326 | off=0.001906
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.008615 | on=0.002667 | off=0.001983
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.008501 | on=0.002394 | off=0.002036
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.007525 | on=0.002771 | off=0.001585
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.007381 | on=0.002381 | off=0.001667
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.007392 | on=0.001891 | off=0.001833
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.006823 | on=0.001580 | off=0.001748
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.005110 | on=0.001310 | off=0.001267
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.005852 | on=0.001354 | off=0.001499
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.004827 | on=0.001878 | off=0.000983
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.004177 | on=0.001229 | off=0.000983
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.003464 | on=0.001117 | off=0.000782
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.003838 | on=0.000912 | off=0.000975
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.003011 | on=0.001068 | off=0.000648
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.002544 | on=0.000851 | off=0.000564
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.002887 | on=0.000971 | off=0.000639
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.002379 | on=0.000905 | off=0.000491
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.002442 | on=0.000587 | off=0.000618
[eval] 3d_0z_2d_discontinuous | proj_dist=0.474794 | pred_recall=0.666667 | pred_FPrate=0.148554 | chamfer=0.510438 | gt->learned=0.035510 | learned->gt=0.474928 | space=data_space
/home/baiyu/PycharmProjects/equality_manofld/methods/vector_eikonal/plots.py:308: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown
  plt.show()
[done] method=delta dataset=3d_0z_2d_discontinuous seed=173 proj_dist=0.474794 recall=0.666667 FPrate=0.148554
[run] method=delta dataset=3d_0z_2d_ellipse seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.448364 | on=0.004614 | off=0.147917
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.249700 | on=0.060795 | off=0.062968
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.223382 | on=0.058747 | off=0.054878
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.188962 | on=0.046992 | off=0.047323
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.031826 | on=0.010159 | off=0.007222
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.034523 | on=0.011847 | off=0.007559
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.031752 | on=0.010252 | off=0.007167
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.029862 | on=0.010630 | off=0.006411
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.036906 | on=0.008134 | off=0.009591
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.031323 | on=0.013025 | off=0.006099
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.025629 | on=0.010535 | off=0.005031
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.022465 | on=0.007358 | off=0.005036
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.027507 | on=0.009108 | off=0.006133
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.023418 | on=0.007633 | off=0.005262
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.017259 | on=0.006826 | off=0.003478
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.013127 | on=0.005285 | off=0.002614
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.012869 | on=0.004016 | off=0.002951
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.011170 | on=0.003540 | off=0.002543
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.008755 | on=0.002335 | off=0.002140
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.007884 | on=0.002577 | off=0.001769
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.010172 | on=0.002624 | off=0.002516
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.008769 | on=0.001674 | off=0.002365
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.006157 | on=0.001464 | off=0.001564
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.006097 | on=0.001292 | off=0.001602
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.006150 | on=0.001672 | off=0.001493
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.003954 | on=0.001325 | off=0.000876
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.006233 | on=0.001454 | off=0.001593
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.003658 | on=0.001207 | off=0.000817
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.004202 | on=0.001254 | off=0.000983
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.002885 | on=0.001253 | off=0.000544
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.003139 | on=0.000851 | off=0.000763
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.003206 | on=0.000810 | off=0.000799
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.002421 | on=0.000600 | off=0.000607
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.002003 | on=0.000595 | off=0.000469
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.002164 | on=0.000487 | off=0.000559
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.001966 | on=0.000652 | off=0.000438
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.001610 | on=0.000723 | off=0.000296
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.001667 | on=0.000279 | off=0.000463
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.001632 | on=0.000477 | off=0.000385
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.001421 | on=0.000314 | off=0.000369
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.001281 | on=0.000403 | off=0.000293
[eval] 3d_0z_2d_ellipse | proj_dist=0.188764 | pred_recall=0.733333 | pred_FPrate=0.168484 | chamfer=0.207992 | gt->learned=0.018808 | learned->gt=0.189184 | space=data_space
/home/baiyu/PycharmProjects/equality_manofld/methods/vector_eikonal/plots.py:308: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown
  plt.show()
[done] method=delta dataset=3d_0z_2d_ellipse seed=173 proj_dist=0.188764 recall=0.733333 FPrate=0.168484
