[run] method=delta dataset=3d_planar_arm_line_n3 seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.331247 | on=0.030679 | off=0.100189
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.295450 | on=0.056767 | off=0.079561
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.230785 | on=0.059256 | off=0.057176
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.248445 | on=0.057940 | off=0.063502
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.269391 | on=0.058662 | off=0.070243
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.251617 | on=0.043738 | off=0.069293
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.244939 | on=0.052604 | off=0.064112
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.257634 | on=0.050881 | off=0.068918
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.250071 | on=0.047360 | off=0.067570
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.231333 | on=0.059878 | off=0.057151
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.225651 | on=0.053677 | off=0.057325
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.211933 | on=0.049460 | off=0.054158
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.181269 | on=0.057167 | off=0.041367
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.122696 | on=0.031201 | off=0.030498
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.118578 | on=0.029020 | off=0.029853
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.131126 | on=0.032222 | off=0.032968
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.129775 | on=0.020764 | off=0.036337
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.128508 | on=0.023578 | off=0.034976
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.098305 | on=0.028491 | off=0.023271
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.100625 | on=0.020860 | off=0.026589
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.070779 | on=0.016010 | off=0.018256
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.082167 | on=0.023083 | off=0.019695
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.091696 | on=0.018790 | off=0.024302
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.076820 | on=0.013043 | off=0.021259
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.079257 | on=0.016044 | off=0.021071
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.057374 | on=0.014669 | off=0.014235
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.076669 | on=0.016560 | off=0.020037
