[run] method=delta dataset=3d_planar_arm_line_n3 seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.231730 | on=0.029691 | off=0.101019
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.214260 | on=0.045437 | off=0.084411
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.170021 | on=0.047257 | off=0.061382
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.182533 | on=0.046367 | off=0.068083
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.196461 | on=0.049355 | off=0.073553
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.181969 | on=0.035115 | off=0.073427
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.179714 | on=0.040425 | off=0.069644
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.191076 | on=0.039430 | off=0.075823
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.181344 | on=0.037909 | off=0.071717
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.166964 | on=0.044243 | off=0.061360
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.152520 | on=0.040965 | off=0.055777
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.132539 | on=0.037244 | off=0.047648
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.119152 | on=0.038783 | off=0.040184
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.083572 | on=0.024487 | off=0.029543
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.083103 | on=0.022313 | off=0.030395
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.092661 | on=0.025683 | off=0.033489
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.085915 | on=0.017044 | off=0.034436
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.093460 | on=0.017353 | off=0.038053
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.066433 | on=0.020933 | off=0.022750
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.075790 | on=0.020396 | off=0.027697
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.053386 | on=0.011215 | off=0.021086
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.055995 | on=0.016935 | off=0.019530
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.066394 | on=0.013126 | off=0.026634
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.055201 | on=0.013168 | off=0.021017
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.059357 | on=0.014533 | off=0.022412
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.045808 | on=0.013187 | off=0.016310
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.052959 | on=0.012498 | off=0.020230
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.043607 | on=0.012352 | off=0.015628
