[run] method=delta dataset=3d_planar_arm_line_n3 seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.048277 | on=0.004691 | off=0.145288
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.045623 | on=0.005613 | off=0.133364
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.038092 | on=0.005637 | off=0.108184
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.040757 | on=0.006464 | off=0.114311
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.042663 | on=0.006388 | off=0.120919
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.039454 | on=0.005940 | off=0.111713
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.040161 | on=0.005029 | off=0.117106
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.031312 | on=0.003654 | off=0.092194
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.014680 | on=0.003008 | off=0.038906
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.010182 | on=0.002154 | off=0.026762
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.008247 | on=0.002401 | off=0.019488
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.010343 | on=0.001578 | off=0.029216
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.007405 | on=0.001249 | off=0.020519
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.006191 | on=0.001074 | off=0.017056
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.006617 | on=0.001242 | off=0.017915
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.007087 | on=0.001885 | off=0.017340
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.006432 | on=0.000883 | off=0.018499
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.009819 | on=0.001079 | off=0.029131
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.004955 | on=0.001279 | off=0.012252
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.006055 | on=0.001312 | off=0.015811
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.004727 | on=0.000983 | off=0.012482
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.005164 | on=0.001474 | off=0.012302
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.006852 | on=0.000920 | off=0.019773
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.004953 | on=0.001262 | off=0.012303
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.005113 | on=0.000583 | off=0.015100
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.004004 | on=0.000883 | off=0.010403
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.008397 | on=0.001682 | off=0.022385
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.006247 | on=0.000928 | off=0.017729
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.003221 | on=0.000849 | off=0.007906
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.002603 | on=0.000557 | off=0.006820
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.004146 | on=0.000929 | off=0.010721
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.007803 | on=0.001259 | off=0.021815
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.002819 | on=0.000769 | off=0.006832
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.005435 | on=0.000749 | off=0.015620
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.004293 | on=0.001318 | off=0.009918
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.003226 | on=0.000695 | off=0.008436
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.002785 | on=0.000376 | off=0.008030
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.004098 | on=0.000595 | off=0.011676
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.004511 | on=0.001058 | off=0.011508
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.002650 | on=0.000675 | off=0.006583
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.003236 | on=0.000489 | off=0.009155
[eval] 3d_planar_arm_line_n3 | proj_dist=0.032253 | pred_recall=0.693878 | pred_FPrate=0.013168 | chamfer=0.037060 | gt->learned=0.004171 | learned->gt=0.032889 | space=workspace
[done] method=delta dataset=3d_planar_arm_line_n3 seed=173 proj_dist=0.032253 recall=0.693878 FPrate=0.013168
[run] method=delta dataset=3d_saddle_surface seed=173
[train] method=delta ep=   1/1000 | lr=3.00e-04 | loss=0.036099 | on=0.004849 | off=0.104165
[train] method=delta ep=  50/1000 | lr=3.00e-04 | loss=0.021840 | on=0.003583 | off=0.060857
