[run] method=delta dataset=3d_planar_arm_line_n3 seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.041579 | on=0.007051 | off=0.115094
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.040153 | on=0.006887 | off=0.110886
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.045348 | on=0.005939 | off=0.131361
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.044725 | on=0.004542 | off=0.133943
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.026002 | on=0.005780 | off=0.067408
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.040381 | on=0.008304 | off=0.106924
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.032772 | on=0.003990 | off=0.095941
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.027706 | on=0.004485 | off=0.077402
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.015918 | on=0.003060 | off=0.042859
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.010751 | on=0.002316 | off=0.028116
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.008979 | on=0.002444 | off=0.021782
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.007633 | on=0.001571 | off=0.020208
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.008789 | on=0.001639 | off=0.023832
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.007038 | on=0.001694 | off=0.017814
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.005335 | on=0.001363 | off=0.013241
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.008623 | on=0.001291 | off=0.024440
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.006357 | on=0.000974 | off=0.017943
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.004262 | on=0.000756 | off=0.011689
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.006111 | on=0.001374 | off=0.015791
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.008438 | on=0.001289 | off=0.023831
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.004619 | on=0.000965 | off=0.012181
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.008226 | on=0.001419 | off=0.022692
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.006123 | on=0.000619 | off=0.018348
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.005313 | on=0.000570 | off=0.015809
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.007224 | on=0.001485 | off=0.019130
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.004177 | on=0.000891 | off=0.010953
