[run] method=delta dataset=6d_spatial_arm_up_n6 seed=173
[data][ur5] target=2048, max_tries=61440, mode=solve(q5,q6|q1..q4)
[data][ur5] tries=1, accepted=1/2048
[data][ur5] tries=20, accepted=13/2048
[data][ur5] tries=40, accepted=26/2048
[data][ur5] tries=60, accepted=32/2048
[data][ur5] tries=100, accepted=49/2048
[data][ur5] tries=120, accepted=56/2048
[data][ur5] tries=140, accepted=65/2048
[data][ur5] tries=160, accepted=76/2048
[data][ur5] tries=200, accepted=98/2048
[data][ur5] tries=220, accepted=110/2048
[data][ur5] tries=260, accepted=127/2048
[data][ur5] tries=280, accepted=138/2048
[data][ur5] tries=300, accepted=150/2048
[data][ur5] tries=320, accepted=161/2048
[data][ur5] tries=340, accepted=169/2048
[data][ur5] tries=360, accepted=183/2048
[data][ur5] tries=380, accepted=195/2048
[data][ur5] tries=400, accepted=208/2048
[data][ur5] tries=420, accepted=216/2048
[data][ur5] tries=440, accepted=225/2048
[data][ur5] tries=460, accepted=238/2048
[data][ur5] tries=480, accepted=249/2048
[data][ur5] tries=500, accepted=258/2048
[data][ur5] tries=520, accepted=268/2048
[data][ur5] tries=540, accepted=275/2048
[data][ur5] tries=560, accepted=283/2048
[data][ur5] tries=580, accepted=293/2048
[data][ur5] tries=600, accepted=303/2048
[data][ur5] tries=620, accepted=312/2048
[data][ur5] tries=640, accepted=319/2048
[data][ur5] tries=660, accepted=330/2048
[data][ur5] tries=680, accepted=343/2048
[data][ur5] tries=700, accepted=356/2048
[data][ur5] tries=720, accepted=368/2048
[data][ur5] tries=740, accepted=378/2048
[data][ur5] tries=760, accepted=389/2048
[data][ur5] tries=780, accepted=399/2048
[data][ur5] tries=800, accepted=405/2048
[data][ur5] tries=820, accepted=415/2048
[data][ur5] tries=840, accepted=428/2048
[data][ur5] tries=860, accepted=441/2048
[data][ur5] tries=880, accepted=453/2048
[data][ur5] tries=900, accepted=466/2048
[data][ur5] tries=920, accepted=480/2048
[data][ur5] tries=940, accepted=492/2048
[data][ur5] tries=960, accepted=504/2048
[data][ur5] tries=980, accepted=515/2048
[data][ur5] tries=1020, accepted=539/2048
[data][ur5] tries=1040, accepted=547/2048
[data][ur5] tries=1060, accepted=562/2048
[data][ur5] tries=1080, accepted=574/2048
[data][ur5] tries=1100, accepted=581/2048
[data][ur5] tries=1120, accepted=596/2048
[data][ur5] tries=1140, accepted=610/2048
[data][ur5] tries=1160, accepted=619/2048
[data][ur5] tries=1200, accepted=636/2048
[data][ur5] tries=1260, accepted=666/2048
[data][ur5] tries=1280, accepted=680/2048
[data][ur5] tries=1300, accepted=688/2048
