[run] method=eikonal dataset=2d_ellipse seed=173
[train] method=eikonal ep=   1/1200 | lr=2.00e-04 | f1=0.0947 | |grad f1|=0.0914 | ortho=0.00000
[train] method=eikonal ep=  50/1200 | lr=2.00e-04 | f1=0.1575 | |grad f1|=0.2573 | ortho=0.00000
[train] method=eikonal ep= 100/1200 | lr=2.00e-04 | f1=0.2061 | |grad f1|=0.3509 | ortho=0.00000
[train] method=eikonal ep= 150/1200 | lr=2.00e-04 | f1=0.2040 | |grad f1|=0.3583 | ortho=0.00000
[train] method=eikonal ep= 200/1200 | lr=2.00e-04 | f1=0.2039 | |grad f1|=0.3717 | ortho=0.00000
[train] method=eikonal ep= 250/1200 | lr=2.00e-04 | f1=0.2016 | |grad f1|=0.3839 | ortho=0.00000
[train] method=eikonal ep= 300/1200 | lr=2.00e-04 | f1=0.1987 | |grad f1|=0.4003 | ortho=0.00000
[train] method=eikonal ep= 350/1200 | lr=2.00e-04 | f1=0.1922 | |grad f1|=0.4199 | ortho=0.00000
[train] method=eikonal ep= 400/1200 | lr=2.00e-04 | f1=0.1857 | |grad f1|=0.4464 | ortho=0.00000
[train] method=eikonal ep= 450/1200 | lr=2.00e-04 | f1=0.1735 | |grad f1|=0.4896 | ortho=0.00000
[train] method=eikonal ep= 500/1200 | lr=2.00e-04 | f1=0.1389 | |grad f1|=0.5522 | ortho=0.00000
[train] method=eikonal ep= 550/1200 | lr=2.00e-04 | f1=0.1159 | |grad f1|=0.6502 | ortho=0.00000
[train] method=eikonal ep= 600/1200 | lr=2.00e-04 | f1=0.1106 | |grad f1|=0.7994 | ortho=0.00000
[train] method=eikonal ep= 650/1200 | lr=2.00e-04 | f1=0.0970 | |grad f1|=0.8449 | ortho=0.00000
[train] method=eikonal ep= 700/1200 | lr=2.00e-04 | f1=0.0876 | |grad f1|=0.8623 | ortho=0.00000
[train] method=eikonal ep= 750/1200 | lr=2.00e-04 | f1=0.0812 | |grad f1|=0.8733 | ortho=0.00000
[train] method=eikonal ep= 800/1200 | lr=2.00e-04 | f1=0.0765 | |grad f1|=0.8813 | ortho=0.00000
[train] method=eikonal ep= 850/1200 | lr=2.00e-04 | f1=0.0746 | |grad f1|=0.8859 | ortho=0.00000
