[run] method=eikonal dataset=2d_ellipse seed=173
[train] method=eikonal ep=   1/1200 | lr=2.00e-04 | f1=0.0921 | |grad f1|=0.0226 | ortho=0.00000
[train] method=eikonal ep=  50/1200 | lr=2.00e-04 | f1=0.2150 | |grad f1|=0.3813 | ortho=0.00000
[train] method=eikonal ep= 100/1200 | lr=2.00e-04 | f1=0.1856 | |grad f1|=0.4310 | ortho=0.00000
[train] method=eikonal ep= 150/1200 | lr=2.00e-04 | f1=0.1269 | |grad f1|=0.5774 | ortho=0.00000
[train] method=eikonal ep= 200/1200 | lr=2.00e-04 | f1=0.0463 | |grad f1|=0.8954 | ortho=0.00000
[train] method=eikonal ep= 250/1200 | lr=2.00e-04 | f1=0.0391 | |grad f1|=0.9231 | ortho=0.00000
[train] method=eikonal ep= 300/1200 | lr=2.00e-04 | f1=0.0361 | |grad f1|=0.9617 | ortho=0.00000
[train] method=eikonal ep= 350/1200 | lr=2.00e-04 | f1=0.0290 | |grad f1|=0.9521 | ortho=0.00000
[train] method=eikonal ep= 400/1200 | lr=2.00e-04 | f1=0.0290 | |grad f1|=0.9867 | ortho=0.00000
[train] method=eikonal ep= 450/1200 | lr=2.00e-04 | f1=0.0226 | |grad f1|=0.9957 | ortho=0.00000
[train] method=eikonal ep= 500/1200 | lr=2.00e-04 | f1=0.0185 | |grad f1|=0.9986 | ortho=0.00000
[train] method=eikonal ep= 550/1200 | lr=2.00e-04 | f1=0.0146 | |grad f1|=0.9962 | ortho=0.00000
[train] method=eikonal ep= 600/1200 | lr=2.00e-04 | f1=0.0138 | |grad f1|=1.0092 | ortho=0.00000
[train] method=eikonal ep= 650/1200 | lr=2.00e-04 | f1=0.0123 | |grad f1|=1.0220 | ortho=0.00000
[train] method=eikonal ep= 700/1200 | lr=2.00e-04 | f1=0.0092 | |grad f1|=1.0065 | ortho=0.00000
[train] method=eikonal ep= 750/1200 | lr=2.00e-04 | f1=0.0097 | |grad f1|=1.0106 | ortho=0.00000
[train] method=eikonal ep= 800/1200 | lr=2.00e-04 | f1=0.0097 | |grad f1|=1.0129 | ortho=0.00000
[train] method=eikonal ep= 850/1200 | lr=2.00e-04 | f1=0.0073 | |grad f1|=1.0077 | ortho=0.00000
[train] method=eikonal ep= 900/1200 | lr=2.00e-04 | f1=0.0074 | |grad f1|=1.0139 | ortho=0.00000
[train] method=eikonal ep= 950/1200 | lr=2.00e-04 | f1=0.0076 | |grad f1|=1.0089 | ortho=0.00000
[train] method=eikonal ep=1000/1200 | lr=2.00e-04 | f1=0.0066 | |grad f1|=1.0069 | ortho=0.00000
[train] method=eikonal ep=1050/1200 | lr=1.00e-04 | f1=0.0070 | |grad f1|=1.0075 | ortho=0.00000
[train] method=eikonal ep=1100/1200 | lr=1.00e-04 | f1=0.0073 | |grad f1|=1.0066 | ortho=0.00000
[train] method=eikonal ep=1150/1200 | lr=1.00e-04 | f1=0.0077 | |grad f1|=1.0038 | ortho=0.00000
[train] method=eikonal ep=1200/1200 | lr=1.00e-04 | f1=0.0074 | |grad f1|=0.9998 | ortho=0.00000
[eval] 2d_ellipse | proj_dist=0.008878 | pred_recall=0.359589 | pred_FPrate=0.000000 | chamfer=0.020220 | gt->learned=0.009512 | learned->gt=0.010709 | space=data_space
[done] method=eikonal dataset=2d_ellipse seed=173 proj_dist=0.008878 recall=0.359589 FPrate=0.000000
[run] method=eikonal dataset=2d_figure_eight seed=173
[train] method=eikonal ep=   1/3000 | lr=2.00e-04 | f1=0.0853 | |grad f1|=0.0186 | ortho=0.00000
[train] method=eikonal ep=  50/3000 | lr=2.00e-04 | f1=0.1803 | |grad f1|=0.2808 | ortho=0.00000
[train] method=eikonal ep= 100/3000 | lr=2.00e-04 | f1=0.1700 | |grad f1|=0.2965 | ortho=0.00000
[train] method=eikonal ep= 150/3000 | lr=2.00e-04 | f1=0.1486 | |grad f1|=0.6602 | ortho=0.00000
[train] method=eikonal ep= 200/3000 | lr=2.00e-04 | f1=0.1360 | |grad f1|=0.6487 | ortho=0.00000
[train] method=eikonal ep= 250/3000 | lr=2.00e-04 | f1=0.1317 | |grad f1|=0.6457 | ortho=0.00000
[train] method=eikonal ep= 300/3000 | lr=2.00e-04 | f1=0.1325 | |grad f1|=0.6530 | ortho=0.00000
[train] method=eikonal ep= 350/3000 | lr=2.00e-04 | f1=0.1315 | |grad f1|=0.6467 | ortho=0.00000
[train] method=eikonal ep= 400/3000 | lr=2.00e-04 | f1=0.1311 | |grad f1|=0.6450 | ortho=0.00000
[train] method=eikonal ep= 450/3000 | lr=2.00e-04 | f1=0.1330 | |grad f1|=0.6549 | ortho=0.00000
[train] method=eikonal ep= 500/3000 | lr=2.00e-04 | f1=0.1322 | |grad f1|=0.6506 | ortho=0.00000
[train] method=eikonal ep= 550/3000 | lr=2.00e-04 | f1=0.1308 | |grad f1|=0.6466 | ortho=0.00000
[train] method=eikonal ep= 600/3000 | lr=2.00e-04 | f1=0.1329 | |grad f1|=0.6562 | ortho=0.00000
[train] method=eikonal ep= 650/3000 | lr=2.00e-04 | f1=0.1334 | |grad f1|=0.6570 | ortho=0.00000
[train] method=eikonal ep= 700/3000 | lr=2.00e-04 | f1=0.1318 | |grad f1|=0.6526 | ortho=0.00000
[train] method=eikonal ep= 750/3000 | lr=2.00e-04 | f1=0.1338 | |grad f1|=0.6531 | ortho=0.00000
[train] method=eikonal ep= 800/3000 | lr=2.00e-04 | f1=0.1323 | |grad f1|=0.6536 | ortho=0.00000
[train] method=eikonal ep= 850/3000 | lr=2.00e-04 | f1=0.1344 | |grad f1|=0.6565 | ortho=0.00000
[train] method=eikonal ep= 900/3000 | lr=2.00e-04 | f1=0.1322 | |grad f1|=0.6509 | ortho=0.00000
[train] method=eikonal ep= 950/3000 | lr=2.00e-04 | f1=0.1311 | |grad f1|=0.6491 | ortho=0.00000
[train] method=eikonal ep=1000/3000 | lr=2.00e-04 | f1=0.1330 | |grad f1|=0.6553 | ortho=0.00000
[train] method=eikonal ep=1050/3000 | lr=1.00e-04 | f1=0.1330 | |grad f1|=0.6517 | ortho=0.00000
[train] method=eikonal ep=1100/3000 | lr=1.00e-04 | f1=0.1309 | |grad f1|=0.6492 | ortho=0.00000
[train] method=eikonal ep=1150/3000 | lr=1.00e-04 | f1=0.1322 | |grad f1|=0.6523 | ortho=0.00000
[train] method=eikonal ep=1200/3000 | lr=1.00e-04 | f1=0.1331 | |grad f1|=0.6531 | ortho=0.00000
[train] method=eikonal ep=1250/3000 | lr=1.00e-04 | f1=0.1315 | |grad f1|=0.6466 | ortho=0.00000
[train] method=eikonal ep=1300/3000 | lr=1.00e-04 | f1=0.1314 | |grad f1|=0.6485 | ortho=0.00000
[train] method=eikonal ep=1350/3000 | lr=1.00e-04 | f1=0.1327 | |grad f1|=0.6553 | ortho=0.00000
[train] method=eikonal ep=1400/3000 | lr=1.00e-04 | f1=0.1340 | |grad f1|=0.6556 | ortho=0.00000
[train] method=eikonal ep=1450/3000 | lr=1.00e-04 | f1=0.1330 | |grad f1|=0.6577 | ortho=0.00000
[train] method=eikonal ep=1500/3000 | lr=1.00e-04 | f1=0.1330 | |grad f1|=0.6525 | ortho=0.00000
[train] method=eikonal ep=1550/3000 | lr=1.00e-04 | f1=0.1335 | |grad f1|=0.6580 | ortho=0.00000
[train] method=eikonal ep=1600/3000 | lr=1.00e-04 | f1=0.1334 | |grad f1|=0.6550 | ortho=0.00000
[train] method=eikonal ep=1650/3000 | lr=1.00e-04 | f1=0.1331 | |grad f1|=0.6498 | ortho=0.00000
[train] method=eikonal ep=1700/3000 | lr=1.00e-04 | f1=0.1329 | |grad f1|=0.6580 | ortho=0.00000
[train] method=eikonal ep=1750/3000 | lr=1.00e-04 | f1=0.1326 | |grad f1|=0.6549 | ortho=0.00000
[train] method=eikonal ep=1800/3000 | lr=1.00e-04 | f1=0.1335 | |grad f1|=0.6557 | ortho=0.00000
[train] method=eikonal ep=1850/3000 | lr=1.00e-04 | f1=0.1322 | |grad f1|=0.6536 | ortho=0.00000
[train] method=eikonal ep=1900/3000 | lr=1.00e-04 | f1=0.1330 | |grad f1|=0.6557 | ortho=0.00000
[train] method=eikonal ep=1950/3000 | lr=1.00e-04 | f1=0.1330 | |grad f1|=0.6557 | ortho=0.00000
[train] method=eikonal ep=2000/3000 | lr=1.00e-04 | f1=0.1347 | |grad f1|=0.6567 | ortho=0.00000
[train] method=eikonal ep=2050/3000 | lr=5.00e-05 | f1=0.1331 | |grad f1|=0.6539 | ortho=0.00000
[train] method=eikonal ep=2100/3000 | lr=5.00e-05 | f1=0.1339 | |grad f1|=0.6570 | ortho=0.00000
[train] method=eikonal ep=2150/3000 | lr=5.00e-05 | f1=0.1336 | |grad f1|=0.6543 | ortho=0.00000
[train] method=eikonal ep=2200/3000 | lr=5.00e-05 | f1=0.1322 | |grad f1|=0.6510 | ortho=0.00000
[train] method=eikonal ep=2250/3000 | lr=5.00e-05 | f1=0.1354 | |grad f1|=0.6578 | ortho=0.00000
[train] method=eikonal ep=2300/3000 | lr=5.00e-05 | f1=0.1352 | |grad f1|=0.6605 | ortho=0.00000
[train] method=eikonal ep=2350/3000 | lr=5.00e-05 | f1=0.1359 | |grad f1|=0.6608 | ortho=0.00000
[train] method=eikonal ep=2400/3000 | lr=5.00e-05 | f1=0.1353 | |grad f1|=0.6617 | ortho=0.00000
[train] method=eikonal ep=2450/3000 | lr=5.00e-05 | f1=0.1346 | |grad f1|=0.6584 | ortho=0.00000
[train] method=eikonal ep=2500/3000 | lr=5.00e-05 | f1=0.1347 | |grad f1|=0.6608 | ortho=0.00000
[train] method=eikonal ep=2550/3000 | lr=5.00e-05 | f1=0.1344 | |grad f1|=0.6594 | ortho=0.00000
[train] method=eikonal ep=2600/3000 | lr=5.00e-05 | f1=0.1359 | |grad f1|=0.6613 | ortho=0.00000
[train] method=eikonal ep=2650/3000 | lr=5.00e-05 | f1=0.1344 | |grad f1|=0.6623 | ortho=0.00000
[train] method=eikonal ep=2700/3000 | lr=5.00e-05 | f1=0.1343 | |grad f1|=0.6594 | ortho=0.00000
[train] method=eikonal ep=2750/3000 | lr=5.00e-05 | f1=0.1335 | |grad f1|=0.6553 | ortho=0.00000
[train] method=eikonal ep=2800/3000 | lr=5.00e-05 | f1=0.1341 | |grad f1|=0.6649 | ortho=0.00000
[train] method=eikonal ep=2850/3000 | lr=5.00e-05 | f1=0.1340 | |grad f1|=0.6594 | ortho=0.00000
[train] method=eikonal ep=2900/3000 | lr=5.00e-05 | f1=0.1346 | |grad f1|=0.6634 | ortho=0.00000
[train] method=eikonal ep=2950/3000 | lr=5.00e-05 | f1=0.1344 | |grad f1|=0.6620 | ortho=0.00000
[train] method=eikonal ep=3000/3000 | lr=5.00e-05 | f1=0.1342 | |grad f1|=0.6608 | ortho=0.00000
[eval] 2d_figure_eight | proj_dist=0.142189 | pred_recall=0.871287 | pred_FPrate=0.671500 | chamfer=0.241509 | gt->learned=0.099042 | learned->gt=0.142467 | space=data_space
[done] method=eikonal dataset=2d_figure_eight seed=173 proj_dist=0.142189 recall=0.871287 FPrate=0.671500
[run] method=eikonal dataset=2d_looped_spiro seed=173
[train] method=eikonal ep=   1/2000 | lr=2.00e-04 | f1=0.0834 | |grad f1|=0.0177 | ortho=0.00000
[train] method=eikonal ep=  50/2000 | lr=2.00e-04 | f1=0.0997 | |grad f1|=0.1458 | ortho=0.00000
[train] method=eikonal ep= 100/2000 | lr=2.00e-04 | f1=0.1161 | |grad f1|=0.4625 | ortho=0.00000
[train] method=eikonal ep= 150/2000 | lr=2.00e-04 | f1=0.1358 | |grad f1|=0.5769 | ortho=0.00000
[train] method=eikonal ep= 200/2000 | lr=2.00e-04 | f1=0.1383 | |grad f1|=0.5905 | ortho=0.00000
