[run] method=eikonal dataset=2d_ellipse seed=173
[train] method=eikonal ep=   1/1200 | lr=2.00e-04 | f1=0.0494 | |grad f1|=0.0252 | ortho=0.00000
[train] method=eikonal ep=  50/1200 | lr=2.00e-04 | f1=0.1338 | |grad f1|=0.1984 | ortho=0.00000
[train] method=eikonal ep= 100/1200 | lr=2.00e-04 | f1=0.2122 | |grad f1|=0.3617 | ortho=0.00000
[train] method=eikonal ep= 150/1200 | lr=2.00e-04 | f1=0.2097 | |grad f1|=0.3774 | ortho=0.00000
[train] method=eikonal ep= 200/1200 | lr=2.00e-04 | f1=0.2087 | |grad f1|=0.4079 | ortho=0.00000
[train] method=eikonal ep= 250/1200 | lr=2.00e-04 | f1=0.2001 | |grad f1|=0.4384 | ortho=0.00000
[train] method=eikonal ep= 300/1200 | lr=2.00e-04 | f1=0.1891 | |grad f1|=0.4646 | ortho=0.00000
[train] method=eikonal ep= 350/1200 | lr=2.00e-04 | f1=0.1648 | |grad f1|=0.5238 | ortho=0.00000
[train] method=eikonal ep= 400/1200 | lr=2.00e-04 | f1=0.1039 | |grad f1|=0.6550 | ortho=0.00000
[train] method=eikonal ep= 450/1200 | lr=2.00e-04 | f1=0.0897 | |grad f1|=0.7764 | ortho=0.00000
[train] method=eikonal ep= 500/1200 | lr=2.00e-04 | f1=0.0796 | |grad f1|=0.8499 | ortho=0.00000
[train] method=eikonal ep= 550/1200 | lr=2.00e-04 | f1=0.0742 | |grad f1|=0.8784 | ortho=0.00000
[train] method=eikonal ep= 600/1200 | lr=2.00e-04 | f1=0.0749 | |grad f1|=0.9013 | ortho=0.00000
[train] method=eikonal ep= 650/1200 | lr=2.00e-04 | f1=0.0730 | |grad f1|=0.9011 | ortho=0.00000
[train] method=eikonal ep= 700/1200 | lr=2.00e-04 | f1=0.0736 | |grad f1|=0.9058 | ortho=0.00000
[train] method=eikonal ep= 750/1200 | lr=2.00e-04 | f1=0.0721 | |grad f1|=0.9024 | ortho=0.00000
[train] method=eikonal ep= 800/1200 | lr=2.00e-04 | f1=0.0718 | |grad f1|=0.9074 | ortho=0.00000
[train] method=eikonal ep= 850/1200 | lr=2.00e-04 | f1=0.0706 | |grad f1|=0.9089 | ortho=0.00000
[train] method=eikonal ep= 900/1200 | lr=2.00e-04 | f1=0.0697 | |grad f1|=0.9133 | ortho=0.00000
[train] method=eikonal ep= 950/1200 | lr=2.00e-04 | f1=0.0694 | |grad f1|=0.9227 | ortho=0.00000
[train] method=eikonal ep=1000/1200 | lr=2.00e-04 | f1=0.0674 | |grad f1|=0.9157 | ortho=0.00000
[train] method=eikonal ep=1050/1200 | lr=1.00e-04 | f1=0.0671 | |grad f1|=0.9227 | ortho=0.00000
[train] method=eikonal ep=1100/1200 | lr=1.00e-04 | f1=0.0683 | |grad f1|=0.9246 | ortho=0.00000
[train] method=eikonal ep=1150/1200 | lr=1.00e-04 | f1=0.0647 | |grad f1|=0.9234 | ortho=0.00000
[train] method=eikonal ep=1200/1200 | lr=1.00e-04 | f1=0.0647 | |grad f1|=0.9218 | ortho=0.00000
[eval] 2d_ellipse | proj_dist=0.130810 | pred_recall=0.845890 | pred_FPrate=0.272871 | chamfer=0.216554 | gt->learned=0.085202 | learned->gt=0.131353 | space=data_space
[done] method=eikonal dataset=2d_ellipse seed=173 proj_dist=0.130810 recall=0.845890 FPrate=0.272871
[run] method=eikonal dataset=2d_figure_eight seed=173
[train] method=eikonal ep=   1/3000 | lr=2.00e-04 | f1=0.0498 | |grad f1|=0.0249 | ortho=0.00000
[train] method=eikonal ep=  50/3000 | lr=2.00e-04 | f1=0.1205 | |grad f1|=0.2111 | ortho=0.00000
[train] method=eikonal ep= 100/3000 | lr=2.00e-04 | f1=0.1599 | |grad f1|=0.2896 | ortho=0.00000
[train] method=eikonal ep= 150/3000 | lr=2.00e-04 | f1=0.1586 | |grad f1|=0.2959 | ortho=0.00000
[train] method=eikonal ep= 200/3000 | lr=2.00e-04 | f1=0.1601 | |grad f1|=0.3030 | ortho=0.00000
[train] method=eikonal ep= 250/3000 | lr=2.00e-04 | f1=0.1657 | |grad f1|=0.3158 | ortho=0.00000
[train] method=eikonal ep= 300/3000 | lr=2.00e-04 | f1=0.1761 | |grad f1|=0.3526 | ortho=0.00000
[train] method=eikonal ep= 350/3000 | lr=2.00e-04 | f1=0.1398 | |grad f1|=0.4184 | ortho=0.00000
[train] method=eikonal ep= 400/3000 | lr=2.00e-04 | f1=0.1292 | |grad f1|=0.6190 | ortho=0.00000
[train] method=eikonal ep= 450/3000 | lr=2.00e-04 | f1=0.1276 | |grad f1|=0.6393 | ortho=0.00000
[train] method=eikonal ep= 500/3000 | lr=2.00e-04 | f1=0.1270 | |grad f1|=0.6372 | ortho=0.00000
[train] method=eikonal ep= 550/3000 | lr=2.00e-04 | f1=0.1271 | |grad f1|=0.6382 | ortho=0.00000
[train] method=eikonal ep= 600/3000 | lr=2.00e-04 | f1=0.1272 | |grad f1|=0.6442 | ortho=0.00000
[train] method=eikonal ep= 650/3000 | lr=2.00e-04 | f1=0.1298 | |grad f1|=0.6516 | ortho=0.00000
[train] method=eikonal ep= 700/3000 | lr=2.00e-04 | f1=0.1299 | |grad f1|=0.6473 | ortho=0.00000
[train] method=eikonal ep= 750/3000 | lr=2.00e-04 | f1=0.1308 | |grad f1|=0.6452 | ortho=0.00000
[train] method=eikonal ep= 800/3000 | lr=2.00e-04 | f1=0.1329 | |grad f1|=0.6531 | ortho=0.00000
[train] method=eikonal ep= 850/3000 | lr=2.00e-04 | f1=0.1318 | |grad f1|=0.6495 | ortho=0.00000
[train] method=eikonal ep= 900/3000 | lr=2.00e-04 | f1=0.1316 | |grad f1|=0.6527 | ortho=0.00000
[train] method=eikonal ep= 950/3000 | lr=2.00e-04 | f1=0.1312 | |grad f1|=0.6501 | ortho=0.00000
[train] method=eikonal ep=1000/3000 | lr=2.00e-04 | f1=0.1314 | |grad f1|=0.6528 | ortho=0.00000
[train] method=eikonal ep=1050/3000 | lr=1.00e-04 | f1=0.1327 | |grad f1|=0.6519 | ortho=0.00000
[train] method=eikonal ep=1100/3000 | lr=1.00e-04 | f1=0.1307 | |grad f1|=0.6489 | ortho=0.00000
[train] method=eikonal ep=1150/3000 | lr=1.00e-04 | f1=0.1318 | |grad f1|=0.6528 | ortho=0.00000
[train] method=eikonal ep=1200/3000 | lr=1.00e-04 | f1=0.1328 | |grad f1|=0.6530 | ortho=0.00000
[train] method=eikonal ep=1250/3000 | lr=1.00e-04 | f1=0.1313 | |grad f1|=0.6503 | ortho=0.00000
