dataset,metric,energy_value,baseline_value
avg,avg/on_mean_v,0.0002884434901109974,0.0035650080778092765
avg,avg/proj_final_true_dist,0.04346450538827876,0.03236662999703313
avg,avg/proj_residual,0.0026896461349679157,0.06163381909330686
avg,avg/proj_to_trueproj_dist,0.10440421476960182,0.18118922940144935
avg,avg/corr_v_d2,0.9326510855547308,0.9209225547643676
avg,avg/slope_v_d2,0.35753533687527367,0.4349743891011156
avg,avg/proj_steps_mean,50.470296223958336,99.98868815104169
avg,avg/coverage_near,0.19772211258634503,0.01014822150495566
avg,avg/false_pos_far,0.0015234904109906282,0.0002365744026496333
avg,avg/norm_proj_dist,-0.846333346775806,-0.8485504067254933
figure_eight,norm_proj_dist,-1.3891234958299337,-0.734339671328002
ellipse,norm_proj_dist,-0.5073740192462697,-0.5844889726644716
noise_only,norm_proj_dist,-1.01805628173332,-1.2240193166209672
sparse_only,norm_proj_dist,-0.5109045297088773,0.15614560852114545
hetero_noise,norm_proj_dist,-0.5608265896138392,-1.1505314911270086
looped_spiro,norm_proj_dist,-1.091715164522596,-1.5540685971336563
